排名,詞彙,出現次數
1,戍卒傷春,3
2,金穀感懷,2
3,色當時嫁,1
4,驛是日芙,1
5,是日芙蓉,1
6,日芙蓉花,1
7,芙蓉花不,1
8,蓉花不如,1
9,花不如秋,1
10,不如秋草,1
11,如秋草色,1
12,秋草色當,1
13,草色當時,1
14,當時嫁匹,1
15,時嫁匹夫,1
16,嫁匹夫不,1
17,匹夫不妨,1
18,夫不妨得,1
19,不妨得頭,1
20,妨得頭白,1
21,長城秦皇,1
22,城秦皇豈,1
23,秦皇豈無,1
24,皇豈無德,1
25,嵬驛是日,1
26,馬嵬驛是,1
27,國馬嵬驛,1
28,傾國馬嵬,1
29,馬嵬驛常,1
30,嵬驛常經,1
31,驛常經馬,1
32,常經馬嵬,1
33,經馬嵬驛,1
34,馬嵬驛見,1
35,嵬驛見說,1
36,驛見說坡,1
37,見說坡前,1
38,說坡前客,1
39,坡前客一,1
40,前客一從,1
41,客一從屠,1
42,一從屠貴,1
43,從屠貴妃,1
44,屠貴妃生,1
45,貴妃生女,1
46,妃生女愁,1
47,生女愁傾,1
48,女愁傾國,1
49,愁傾國馬,1
50,豈無德蒙,1
