排名,詞彙,出現次數
1,分水嶺前,1
2,是朝宗去,1
3,沖山影岸,1
4,山影岸清,1
5,影岸清繞,1
6,岸清繞荻,1
7,清繞荻花,1
8,繞荻花洲,1
9,荻花洲儘,1
10,花洲儘是,1
11,洲儘是朝,1
12,儘是朝宗,1
13,朝宗去潺,1
14,水嶺前賢,1
15,宗去潺潺,1
16,去潺潺早,1
17,潺潺早晚,1
18,潺早晚休,1
19,句稚子出,1
20,稚子出看,1
21,子出看莎,1
22,出看莎徑,1
23,看莎徑沒,1
24,莎徑沒漁,1
25,寒沖山影,1
26,嶺寒沖山,1
27,水嶺寒沖,1
28,分水嶺寒,1
29,嶺前賢功,1
30,前賢功及,1
31,賢功及物,1
32,功及物禹,1
33,及物禹後,1
34,物禹後杳,1
35,禹後杳難,1
36,後杳難儔,1
37,杳難儔不,1
38,難儔不改,1
39,儔不改古,1
40,不改古今,1
41,改古今色,1
42,古今色平,1
43,今色平分,1
44,色平分南,1
45,平分南北,1
46,分南北流,1
47,南北流分,1
48,北流分水,1
49,流分水嶺,1
50,徑沒漁翁,1
