排名,詞彙,出現次數
1,寄洛中諸,2
2,秦中春望,2
3,知誰堪離,1
4,諸白發愁,1
5,白發愁偏,1
6,發愁偏覺,1
7,愁偏覺歸,1
8,偏覺歸心,1
9,覺歸心夢,1
10,歸心夢獨,1
11,心夢獨知,1
12,夢獨知誰,1
13,獨知誰堪,1
14,誰堪離亂,1
15,堪離亂處,1
16,離亂處掩,1
17,亂處掩淚,1
18,處掩淚向,1
19,掩淚向南,1
20,淚向南枝,1
21,中春望鳳,1
22,春望鳳樓,1
23,望鳳樓春,1
24,鳳樓春望,1
25,中諸白發,1
26,洛中諸白,1
27,眉寄洛中,1
28,蛾眉寄洛,1
29,洛中諸舊,1
30,中諸舊國,1
31,諸舊國經,1
32,舊國經年,1
33,國經年別,1
34,經年別關,1
35,年別關河,1
36,別關河萬,1
37,關河萬里,1
38,河萬里思,1
39,萬里思題,1
40,里思題詩,1
41,思題詩憑,1
42,題詩憑雁,1
43,詩憑雁翼,1
44,憑雁翼望,1
45,雁翼望月,1
46,翼望月想,1
47,望月想蛾,1
48,月想蛾眉,1
49,想蛾眉寄,1
50,樓春望好,1
