排名,詞彙,出現次數
1,黃中正位,1
2,至哉樞紐,1
3,降永祚休,1
4,永祚休平,1
5,眇眇方輿,1
6,眇方輿蒼,1
7,方輿蒼蒼,1
8,輿蒼蒼圜,1
9,蒼蒼圜蓋,1
10,蒼圜蓋至,1
11,圜蓋至哉,1
12,蓋至哉樞,1
13,哉樞紐宅,1
14,中正位含,1
15,樞紐宅中,1
16,紐宅中圖,1
17,宅中圖大,1
18,中圖大氣,1
19,圖大氣調,1
20,大氣調四,1
21,氣調四序,1
22,調四序風,1
23,四序風和,1
24,序風和萬,1
25,下降永祚,1
26,其下降永,1
27,神其下降,1
28,牲神其下,1
29,正位含章,1
30,位含章居,1
31,含章居貞,1
32,章居貞既,1
33,居貞既長,1
34,貞既長六,1
35,既長六律,1
36,長六律兼,1
37,六律兼和,1
38,律兼和五,1
39,兼和五聲,1
40,和五聲畢,1
41,五聲畢陳,1
42,聲畢陳萬,1
43,畢陳萬舞,1
44,陳萬舞乃,1
45,萬舞乃薦,1
46,舞乃薦斯,1
47,乃薦斯牲,1
48,薦斯牲神,1
49,斯牲神其,1
50,風和萬籟,1
