排名,詞彙,出現次數
1,怨詩效徐,9
2,怨詩寄楊,4
3,妾心兮焉,2
4,有期不至,2
5,效徐迴圈,1
6,徐迴圈兮,1
7,迴圈兮不,1
8,圈兮不息,1
9,兮不息如,1
10,不息如彼,1
11,息如彼兮,1
12,如彼兮車,1
13,彼兮車輪,1
14,兮車輪車,1
15,車輪車輪,1
16,詩效徐迴,1
17,車輪兮可,1
18,輪兮可歇,1
19,兮可歇妾,1
20,可歇妾心,1
21,歇妾心兮,1
22,心兮焉伸,1
23,兮焉伸怨,1
24,焉伸怨詩,1
25,伸怨詩效,1
26,輪車輪兮,1
27,眉顰怨詩,1
28,顰怨詩效,1
29,年兮逢屯,1
30,詩效徐妾,1
31,效徐妾生,1
32,徐妾生兮,1
33,妾生兮不,1
34,生兮不辰,1
35,兮不辰盛,1
36,不辰盛年,1
37,辰盛年兮,1
38,盛年兮逢,1
39,兮逢屯寒,1
40,兮眉顰怨,1
41,逢屯寒暑,1
42,屯寒暑兮,1
43,寒暑兮心,1
44,暑兮心結,1
45,兮心結夙,1
46,心結夙夜,1
47,結夙夜兮,1
48,夙夜兮眉,1
49,夜兮眉顰,1
50,詩效徐雜,1
