排名,詞彙,出現次數
1,書情獻知,5
2,野寺寓居,4
3,將歸蜀留,4
4,隨州獻李,4
5,虢州獻楊,4
6,送僧歸新,3
7,奉和秘監,3
8,風不鳴條,3
9,送費煉師,2
10,和徐先輩,2
11,送黃頗歸,2
12,和陝州參,2
13,送友人出,2
14,及第後上,2
15,送賀知章,2
16,旱魚詞上,2
17,和工部楊,2
18,襄州獻盧,2
19,玉真觀尋,2
20,送程秀才,2
21,送人歸吳,2
22,感懷陳情,2
23,塞外寄張,2
24,題終南山,2
25,嘉川驛樓,2
26,送李潛歸,2
27,送石貫歸,2
28,送劉耕歸,2
29,寄贈許璋,2
30,寄雍陶先,2
31,出重扉此,1
32,寥天一鶴,1
33,望寥天一,1
34,人望寥天,1
35,千人望寥,1
36,地千人望,1
37,此地千人,1
38,扉此地千,1
39,重扉此地,1
40,樓對翠微,1
41,旆出重扉,1
42,紅旆出重,1
43,微紅旆出,1
44,翠微紅旆,1
45,對翠微紅,1
46,朱樓對翠,1
47,歸朱樓對,1
48,潛歸朱樓,1
49,李潛歸朱,1
50,天一鶴歸,1
