排名,詞彙,出現次數
1,和主司王,2
2,年美繼入,1
3,轉覺集登,1
4,覺集登瀛,1
5,集登瀛同,1
6,登瀛同升,1
7,瀛同升翰,1
8,同升翰苑,1
9,升翰苑三,1
10,翰苑三年,1
11,苑三年美,1
12,三年美繼,1
13,美繼入花,1
14,主司王滿,1
15,繼入花源,1
16,入花源九,1
17,花源九族,1
18,源九族榮,1
19,九族榮和,1
20,族榮和主,1
21,榮和主司,1
22,主司王共,1
23,司王共仰,1
24,王共仰蓮,1
25,宗轉覺集,1
26,朝宗轉覺,1
27,玉朝宗轉,1
28,片玉朝宗,1
29,司王滿朝,1
30,王滿朝朱,1
31,滿朝朱紫,1
32,朝朱紫半,1
33,朱紫半門,1
34,紫半門生,1
35,半門生新,1
36,門生新榜,1
37,生新榜勞,1
38,新榜勞人,1
39,榜勞人又,1
40,勞人又得,1
41,人又得名,1
42,又得名國,1
43,得名國器,1
44,名國器舊,1
45,國器舊知,1
46,器舊知收,1
47,舊知收片,1
48,知收片玉,1
49,收片玉朝,1
50,共仰蓮峰,1
