排名,詞彙,出現次數
1,聽妓洞雲,2
2,春聽妓洞,1
3,藉劉伯倫,1
4,劉伯倫虛,1
5,伯倫虛生,1
6,倫虛生浪,1
7,虛生浪死,1
8,生浪死過,1
9,浪死過青,1
10,死過青春,1
11,過青春聽,1
12,青春聽妓,1
13,妓洞雲一,1
14,妓洞雲嵇,1
15,洞雲一飲,1
16,雲一飲一,1
17,一飲一碩,1
18,飲一碩猶,1
19,一碩猶自,1
20,碩猶自醉,1
21,猶自醉無,1
22,自醉無人,1
23,醉無人為,1
24,無人為爾,1
25,不藉劉伯,1
26,都不藉劉,1
27,陵都不藉,1
28,廣陵都不,1
29,洞雲嵇叔,1
30,雲嵇叔夜,1
31,嵇叔夜鼓,1
32,叔夜鼓琴,1
33,夜鼓琴飲,1
34,鼓琴飲酒,1
35,琴飲酒無,1
36,飲酒無閒,1
37,酒無閒暇,1
38,無閒暇若,1
39,閒暇若使,1
40,暇若使當,1
41,若使當時,1
42,使當時聞,1
43,當時聞此,1
44,時聞此歌,1
45,聞此歌拋,1
46,此歌拋擲,1
47,歌拋擲廣,1
48,拋擲廣陵,1
49,擲廣陵都,1
50,人為爾蔔,1
