排名,詞彙,出現次數
1,美女渭橋,1
2,豔名都綠,1
3,來相謔妾,1
4,相謔妾本,1
5,謔妾本秦,1
6,妾本秦羅,1
7,本秦羅敷,1
8,秦羅敷玉,1
9,羅敷玉顏,1
10,敷玉顏豔,1
11,玉顏豔名,1
12,顏豔名都,1
13,名都綠條,1
14,女渭橋東,1
15,都綠條映,1
16,綠條映素,1
17,條映素手,1
18,映素手采,1
19,素手采桑,1
20,手采桑向,1
21,采桑向城,1
22,桑向城隅,1
23,向城隅使,1
24,城隅使君,1
25,笑來相謔,1
26,調笑來相,1
27,子調笑來,1
28,家子調笑,1
29,渭橋東春,1
30,橋東春還,1
31,東春還事,1
32,春還事蠶,1
33,還事蠶作,1
34,事蠶作五,1
35,蠶作五馬,1
36,作五馬如,1
37,五馬如飛,1
38,馬如飛龍,1
39,如飛龍青,1
40,飛龍青絲,1
41,龍青絲結,1
42,青絲結金,1
43,絲結金絡,1
44,結金絡不,1
45,金絡不知,1
46,絡不知誰,1
47,不知誰家,1
48,知誰家子,1
49,誰家子調,1
50,隅使君且,1
