排名,詞彙,出現次數
1,廣謫仙怨,2
2,妃子愁凝,1
3,川廣謫仙,1
4,謫仙怨曲,1
5,仙怨曲江,1
6,怨曲江魂,1
7,曲江魂斷,1
8,江魂斷芳,1
9,魂斷芳草,1
10,斷芳草妃,1
11,芳草妃子,1
12,草妃子愁,1
13,子愁凝暮,1
14,謫仙怨晴,1
15,愁凝暮煙,1
16,凝暮煙長,1
17,暮煙長笛,1
18,煙長笛此,1
19,長笛此時,1
20,笛此時吹,1
21,此時吹罷,1
22,時吹罷何,1
23,吹罷何言,1
24,罷何言獨,1
25,秦川廣謫,1
26,望秦川廣,1
27,東望秦川,1
28,顏東望秦,1
29,仙怨晴山,1
30,怨晴山礙,1
31,晴山礙目,1
32,山礙目橫,1
33,礙目橫天,1
34,目橫天綠,1
35,橫天綠疊,1
36,天綠疊君,1
37,綠疊君王,1
38,疊君王馬,1
39,君王馬前,1
40,王馬前鑾,1
41,馬前鑾輅,1
42,前鑾輅西,1
43,鑾輅西巡,1
44,輅西巡蜀,1
45,西巡蜀國,1
46,巡蜀國龍,1
47,蜀國龍顏,1
48,國龍顏東,1
49,龍顏東望,1
50,何言獨為,1
