排名,詞彙,出現次數
1,送友人歸,6
2,書梅福殿,4
3,興善寺貝,4
4,游邊感懷,4
5,送友人游,4
6,試月中桂,3
7,和薛監察,2
8,雨中宿僧,2
9,江行至沙,2
10,劉補闕自,2
11,岳陽即事,2
12,題興善寺,2
13,送龍門令,2
14,送友人往,2
15,送僧雅覺,2
16,題鄭侍禦,2
17,聞仰山禪,2
18,藍溪夜坐,2
19,再題敬亭,2
20,送友人進,2
21,秘省伴直,2
22,送陸處士,2
23,送韓處士,2
24,贈初上人,2
25,送新羅僧,2
26,題山僧院,2
27,浮汴東歸,2
28,朝客多相,2
29,經隱岩舊,2
30,吊造微上,2
31,郢州即事,2
32,送賓貢金,2
33,寄處士梁,2
34,送許棠下,2
35,題終南山,2
36,吊建州李,2
37,送許棠及,2
38,送龐百篇,2
39,秦原春望,2
40,千山萬水,2
41,游華山雲,2
42,送棋待詔,2
43,送鄭谷先,2
44,贈敬亭清,2
45,題靈山寺,2
46,吊棲白上,2
47,北山書事,2
48,長安書事,2
49,送鄭侍禦,2
50,荊楚道中,2
