排名,詞彙,出現次數
1,詠宣律和,2
2,好幽磬度,1
3,地畦裏塵,1
4,畦裏塵飛,1
5,裏塵飛葉,1
6,塵飛葉相,1
7,飛葉相殘,1
8,閑中好閑,1
9,中好閑中,1
10,好閑中好,1
11,閑中好幽,1
12,中好幽磬,1
13,幽磬度聲,1
14,宣律和共,1
15,磬度聲遲,1
16,度聲遲卷,1
17,聲遲卷上,1
18,遲卷上論,1
19,卷上論題,1
20,上論題肇,1
21,論題肇畫,1
22,題肇畫中,1
23,肇畫中僧,1
24,畫中僧姓,1
25,宮地畦裏,1
26,龍宮地畦,1
27,得龍宮地,1
28,蓋得龍宮,1
29,律和共覆,1
30,和共覆三,1
31,共覆三衣,1
32,覆三衣中,1
33,三衣中夜,1
34,衣中夜寒,1
35,中夜寒披,1
36,夜寒披時,1
37,寒披時不,1
38,披時不鎮,1
39,時不鎮尼,1
40,不鎮尼師,1
41,鎮尼師壇,1
42,尼師壇詠,1
43,師壇詠宣,1
44,壇詠宣律,1
45,宣律和無,1
46,律和無因,1
47,和無因蓋,1
48,無因蓋得,1
49,因蓋得龍,1
50,中僧姓支,1
