排名,詞彙,出現次數
1,逸人歌贈,1
2,人莫用樂,1
3,曲兮林壑,1
4,兮林壑秋,1
5,林壑秋道,1
6,壑秋道險,1
7,秋道險可,1
8,道險可驚,1
9,險可驚兮,1
10,可驚兮人,1
11,驚兮人莫,1
12,兮人莫用,1
13,莫用樂天,1
14,人歌贈上,1
15,用樂天知,1
16,樂天知命,1
17,天知命兮,1
18,知命兮守,1
19,命兮守岩,1
20,兮守岩洞,1
21,守岩洞時,1
22,岩洞時擊,1
23,洞時擊磬,1
24,時擊磬兮,1
25,一曲兮林,1
26,歌一曲兮,1
27,浩歌一曲,1
28,幽浩歌一,1
29,歌贈上有,1
30,贈上有堯,1
31,上有堯兮,1
32,有堯兮下,1
33,堯兮下有,1
34,兮下有由,1
35,下有由眠,1
36,有由眠松,1
37,由眠松陽,1
38,眠松陽兮,1
39,松陽兮漱,1
40,陽兮漱潁,1
41,兮漱潁流,1
42,漱潁流其,1
43,潁流其貌,1
44,流其貌古,1
45,其貌古其,1
46,貌古其心,1
47,古其心幽,1
48,其心幽浩,1
49,心幽浩歌,1
50,擊磬兮嗟,1
