排名,詞彙,出現次數
1,銅雀台君,1
2,粉空相哀,1
3,沉閉青苔,1
4,閉青苔青,1
5,青苔青苔,1
6,苔青苔無,1
7,青苔無人,1
8,苔無人跡,1
9,無人跡紅,1
10,人跡紅粉,1
11,跡紅粉空,1
12,紅粉空相,1
13,望月天漢,1
14,雀台君王,1
15,月天漢涼,1
16,天漢涼秋,1
17,漢涼秋夜,1
18,涼秋夜澄,1
19,秋夜澄澄,1
20,夜澄澄一,1
21,澄澄一鏡,1
22,澄一鏡明,1
23,一鏡明山,1
24,鏡明山空,1
25,沉沉閉青,1
26,殿沉沉閉,1
27,高殿沉沉,1
28,鳥高殿沉,1
29,台君王冥,1
30,君王冥漠,1
31,王冥漠不,1
32,冥漠不可,1
33,漠不可見,1
34,不可見銅,1
35,可見銅雀,1
36,見銅雀歌,1
37,銅雀歌舞,1
38,雀歌舞空,1
39,歌舞空裴,1
40,舞空裴回,1
41,空裴回西,1
42,裴回西陵,1
43,回西陵嘖,1
44,西陵嘖嘖,1
45,陵嘖嘖悲,1
46,嘖嘖悲宿,1
47,嘖悲宿鳥,1
48,悲宿鳥高,1
49,宿鳥高殿,1
50,明山空猿,1
