排名,詞彙,出現次數
1,題張僧繇,2
2,寄衡嶽僧,2
3,融高座對,1
4,便發真堪,1
5,發真堪畫,1
6,真堪畫入,1
7,堪畫入醉,1
8,畫入醉僧,1
9,入醉僧圖,1
10,衡嶽僧祝,1
11,嶽僧祝融,1
12,僧祝融高,1
13,祝融高座,1
14,高座對寒,1
15,座對寒峰,1
16,對寒峰雲,1
17,寒峰雲水,1
18,峰雲水昭,1
19,雲水昭丘,1
20,水昭丘幾,1
21,昭丘幾萬,1
22,丘幾萬重,1
23,幾萬重寄,1
24,萬重寄衡,1
25,狂便發真,1
26,成狂便發,1
27,欲成狂便,1
28,聖欲成狂,1
29,張僧繇人,1
30,僧繇人人,1
31,繇人人送,1
32,人人送酒,1
33,人送酒不,1
34,送酒不曾,1
35,酒不曾沽,1
36,不曾沽終,1
37,曾沽終日,1
38,沽終日松,1
39,終日松間,1
40,日松間掛,1
41,松間掛一,1
42,間掛一壺,1
43,掛一壺題,1
44,一壺題張,1
45,壺題張僧,1
46,張僧繇草,1
47,僧繇草聖,1
48,繇草聖欲,1
49,草聖欲成,1
50,重寄衡嶽,1
