排名,詞彙,出現次數
1,柳枝辭九,18
2,會友不至,2
3,暮春日宴,2
4,游紫陽宮,2
5,花杜鵑花,2
6,家謝豹出,1
7,一聲寒食,1
8,聲寒食夜,1
9,寒食夜數,1
10,食夜數朵,1
11,夜數朵野,1
12,數朵野僧,1
13,朵野僧家,1
14,野僧家謝,1
15,僧家謝豹,1
16,豹出不出,1
17,謝豹出不,1
18,鵑花一聲,1
19,出不出日,1
20,不出日遲,1
21,出日遲遲,1
22,日遲遲又,1
23,遲遲又斜,1
24,江上楓江,1
25,上楓江楓,1
26,楓江楓自,1
27,花一聲寒,1
28,上花杜鵑,1
29,杜鵑花一,1
30,枝上花杜,1
31,杜鵑花杜,1
32,鵑花杜鵑,1
33,杜鵑花與,1
34,鵑花與鳥,1
35,花與鳥怨,1
36,與鳥怨豔,1
37,鳥怨豔兩,1
38,怨豔兩何,1
39,豔兩何賒,1
40,兩何賒疑,1
41,何賒疑是,1
42,賒疑是口,1
43,疑是口中,1
44,是口中血,1
45,口中血滴,1
46,中血滴成,1
47,血滴成枝,1
48,滴成枝上,1
49,成枝上花,1
50,江楓自蓊,1
