排名,詞彙,出現次數
1,獻中書潘,13
2,和潯陽宰,10
3,思朐陽春,10
4,獻喬侍郎,10
5,春閨辭二,8
6,獻徐舍人,6
7,思九江舊,6
8,獻中書張,6
9,題徐五教,5
10,看和潯陽,5
11,江南重會,5
12,烈祖孝高,4
13,冬日書懷,4
14,漁父二首,4
15,寒和潯陽,4
16,吉水作尉,4
17,宮詞二首,4
18,哭舍弟二,4
19,敘吟二首,4
20,秋雨二首,4
21,送孫霽書,4
22,秋日途中,4
23,徐司徒池,4
24,新秋有感,4
25,春日書懷,4
26,姑蘇懷古,4
27,秋江夜泊,4
28,和友人喜,3
29,廣陵寒食,3
30,舟中望九,3
31,寄廬山白,3
32,訪蔡文慶,2
33,春夕偶作,2
34,贈蒯亮處,2
35,贈史虛白,2
36,依韻和智,2
37,思舊遊有,2
38,懷王道者,2
39,書小齋壁,2
40,寄廬岳鑒,2
41,訪洞神宮,2
42,海上從事,2
43,宿廬山白,2
44,送劉恭遊,2
45,自是離人,2
46,寄贈致仕,2
47,魏夫人壇,2
48,喜春雨有,2
49,寒江暮泊,2
50,書王秀才,2
