排名,詞彙,出現次數
1,玉殿肅肅,1
2,蕣呈色載,1
3,芝明神合,1
4,明神合德,1
5,神合德紫,1
6,合德紫微,1
7,德紫微間,1
8,紫微間采,1
9,微間采白,1
10,間采白蕣,1
11,采白蕣呈,1
12,白蕣呈色,1
13,呈色載啟,1
14,殿肅肅靈,1
15,色載啟瑞,1
16,載啟瑞圖,1
17,啟瑞圖庶,1
18,瑞圖庶符,1
19,圖庶符皇,1
20,庶符皇極,1
21,符皇極天,1
22,皇極天心,1
23,極天心有,1
24,天心有眷,1
25,產芝明神,1
26,氣產芝明,1
27,元氣產芝,1
28,光元氣產,1
29,肅肅靈芝,1
30,肅靈芝煌,1
31,靈芝煌煌,1
32,芝煌煌重,1
33,煌煌重英,1
34,煌重英發,1
35,重英發秀,1
36,英發秀連,1
37,發秀連葉,1
38,秀連葉分,1
39,連葉分房,1
40,葉分房宗,1
41,分房宗廟,1
42,房宗廟之,1
43,宗廟之福,1
44,廟之福垂,1
45,之福垂其,1
46,福垂其耿,1
47,垂其耿光,1
48,其耿光元,1
49,耿光元氣,1
50,心有眷王,1
