排名,詞彙,出現次數
1,享太廟樂,2
2,長路別驛,1
3,俗臻往古,1
4,臻往古億,1
5,往古億萬,1
6,古億萬斯,1
7,億萬斯年,1
8,萬斯年形,1
9,斯年形於,1
10,年形於律,1
11,形於律呂,1
12,天長路別,1
13,路別驛騎,1
14,太廟樂受,1
15,別驛騎難,1
16,驛騎難隨,1
17,騎難隨伴,1
18,難隨伴尋,1
19,隨伴尋山,1
20,伴尋山半,1
21,尋山半憶,1
22,山半憶君,1
23,半憶君蒼,1
24,憶君蒼崖,1
25,夏俗臻往,1
26,夷夏俗臻,1
27,消夷夏俗,1
28,氛消夷夏,1
29,廟樂受天,1
30,樂受天明,1
31,受天明命,1
32,天明命敷,1
33,明命敷佑,1
34,命敷佑下,1
35,敷佑下土,1
36,佑下土化,1
37,下土化時,1
38,土化時以,1
39,化時以儉,1
40,時以儉衛,1
41,以儉衛文,1
42,儉衛文以,1
43,衛文以武,1
44,文以武享,1
45,以武享太,1
46,武享太廟,1
47,太廟樂氛,1
48,廟樂氛消,1
49,樂氛消夷,1
50,君蒼崖殘,1
