排名,詞彙,出現次數
1,恒嶽晨望,6
2,澒洞鎮河,1
3,恒山北臨,1
4,山北臨岱,1
5,北臨岱秀,1
6,臨岱秀崿,1
7,岱秀崿東,1
8,秀崿東跨,1
9,崿東跨幽,1
10,東跨幽澒,1
11,跨幽澒洞,1
12,幽澒洞鎮,1
13,洞鎮河朔,1
14,嶽晨望二,1
15,鎮河朔嵯,1
16,河朔嵯峨,1
17,朔嵯峨冠,1
18,嵯峨冠嵩,1
19,峨冠嵩丘,1
20,冠嵩丘恒,1
21,嵩丘恒嶽,1
22,丘恒嶽晨,1
23,嶽晨望禋,1
24,晨望禋祠,1
25,望恒山北,1
26,晨望恒山,1
27,嶽晨望恒,1
28,酬恒嶽晨,1
29,晨望二儀,1
30,望二儀均,1
31,二儀均四,1
32,儀均四序,1
33,均四序五,1
34,四序五嶽,1
35,序五嶽分,1
36,五嶽分九,1
37,嶽分九州,1
38,分九州靈,1
39,九州靈造,1
40,州靈造良,1
41,靈造良難,1
42,造良難測,1
43,良難測神,1
44,難測神功,1
45,測神功匪,1
46,神功匪易,1
47,功匪易酬,1
48,匪易酬恒,1
49,易酬恒嶽,1
50,望禋祠彰,1
