排名,詞彙,出現次數
1,漁父引二,4
2,答常學士,2
3,千林錦岩,1
4,生難見日,1
5,難見日邊,1
6,見日邊人,1
7,日邊人洞,1
8,邊人洞桃,1
9,人洞桃深,1
10,洞桃深處,1
11,桃深處千,1
12,深處千林,1
13,處千林錦,1
14,林錦岩雪,1
15,錦岩雪鋪,1
16,岩雪鋪時,1
17,雪鋪時萬,1
18,鋪時萬草,1
19,時萬草新,1
20,萬草新答,1
21,草新答常,1
22,新答常學,1
23,常學士深,1
24,學士深謝,1
25,平生難見,1
26,鹿平生難,1
27,裏鹿平生,1
28,林裏鹿平,1
29,常學士罷,1
30,學士罷修,1
31,士罷修儒,1
32,罷修儒業,1
33,修儒業罷,1
34,儒業罷修,1
35,業罷修真,1
36,罷修真養,1
37,修真養拙,1
38,真養拙藏,1
39,養拙藏愚,1
40,拙藏愚春,1
41,藏愚春複,1
42,愚春複春,1
43,春複春到,1
44,複春到老,1
45,春到老不,1
46,到老不疏,1
47,老不疏林,1
48,不疏林裏,1
49,疏林裏鹿,1
50,士深謝名,1
