排名,詞彙,出現次數
1,玉女舞霓,2
2,隨風散複,1
3,了不知何,1
4,不知何處,1
5,知何處偶,1
6,何處偶真,1
7,處偶真仙,1
8,女舞霓舞,1
9,舞霓舞勢,1
10,霓舞勢隨,1
11,舞勢隨風,1
12,勢隨風散,1
13,風散複收,1
14,摘紫芝偶,1
15,散複收歌,1
16,複收歌聲,1
17,收歌聲似,1
18,歌聲似磬,1
19,聲似磬韻,1
20,似磬韻還,1
21,磬韻還幽,1
22,韻還幽玉,1
23,還幽玉女,1
24,幽玉女舞,1
25,世了不知,1
26,塵世了不,1
27,離塵世了,1
28,似離塵世,1
29,紫芝偶遊,1
30,芝偶遊洞,1
31,偶遊洞府,1
32,遊洞府到,1
33,洞府到芝,1
34,府到芝田,1
35,到芝田星,1
36,芝田星月,1
37,田星月茫,1
38,星月茫茫,1
39,月茫茫欲,1
40,茫茫欲曙,1
41,茫欲曙天,1
42,欲曙天摘,1
43,曙天摘紫,1
44,天摘紫芝,1
45,摘紫芝雖,1
46,紫芝雖則,1
47,芝雖則似,1
48,雖則似離,1
49,則似離塵,1
50,女舞霓千,1
