排名,詞彙,出現次數
1,更有上方,1
2,騎和戎委,1
3,所似莫慚,1
4,似莫慚漢,1
5,莫慚漢武,1
6,慚漢武賞,1
7,漢武賞汾,1
8,武賞汾中,1
9,款塞旋征,1
10,塞旋征騎,1
11,旋征騎和,1
12,征騎和戎,1
13,和戎委廟,1
14,有上方人,1
15,戎委廟賢,1
16,委廟賢傾,1
17,廟賢傾心,1
18,賢傾心方,1
19,傾心方倚,1
20,心方倚注,1
21,方倚注葉,1
22,倚注葉力,1
23,注葉力共,1
24,葉力共安,1
25,何所似莫,1
26,游何所似,1
27,追游何所,1
28,日追游何,1
29,上方人罕,1
30,方人罕到,1
31,人罕到暮,1
32,罕到暮鐘,1
33,到暮鐘朝,1
34,暮鐘朝磬,1
35,鐘朝磬碧,1
36,朝磬碧雲,1
37,磬碧雲端,1
38,文章已滿,1
39,章已滿行,1
40,已滿行人,1
41,滿行人耳,1
42,行人耳一,1
43,人耳一度,1
44,耳一度思,1
45,一度思卿,1
46,度思卿一,1
47,思卿一愴,1
48,卿一愴然,1
49,今日追游,1
50,力共安邊,1
