排名,詞彙,出現次數
1,投宋大夫,2
2,焚香入深,1
3,道士十二,1
4,士十二人,1
5,十二人往,1
6,二人往還,1
7,人往還馭,1
8,往還馭清,1
9,還馭清風,1
10,馭清風焚,1
11,清風焚香,1
12,風焚香入,1
13,香入深洞,1
14,張公洞一,1
15,入深洞巨,1
16,深洞巨石,1
17,洞巨石如,1
18,巨石如虛,1
19,石如虛空,1
20,如虛空張,1
21,虛空張公,1
22,空張公洞,1
23,張公洞夙,1
24,公洞夙夜,1
25,洞道士十,1
26,公洞道士,1
27,張公洞道,1
28,宮張公洞,1
29,公洞一徑,1
30,洞一徑深,1
31,一徑深窈,1
32,徑深窈窕,1
33,深窈窕上,1
34,窈窕上升,1
35,窕上升翠,1
36,上升翠微,1
37,升翠微中,1
38,翠微中忽,1
39,微中忽然,1
40,中忽然靈,1
41,忽然靈洞,1
42,然靈洞前,1
43,靈洞前日,1
44,洞前日月,1
45,前日月開,1
46,日月開仙,1
47,月開仙宮,1
48,開仙宮張,1
49,仙宮張公,1
50,洞夙夜備,1
