排名,詞彙,出現次數
1,贈毛仙翁,4
2,丁巳歲八,3
3,題李處士,2
4,謝寄新茶,2
5,歲八謀猷,1
6,八謀猷期,1
7,謀猷期作,1
8,猷期作聖,1
9,期作聖風,1
10,作聖風俗,1
11,聖風俗奉,1
12,風俗奉為,1
13,俗奉為神,1
14,奉為神酹,1
15,為神酹酒,1
16,巳歲八謀,1
17,酹酒成坳,1
18,酒成坳澤,1
19,成坳澤持,1
20,坳澤持兵,1
21,澤持兵列,1
22,持兵列偶,1
23,兵列偶人,1
24,列偶人丁,1
25,偶人丁巳,1
26,神酹酒成,1
27,堊新丁巳,1
28,新丁巳歲,1
29,旆出效闉,1
30,巳歲八齋,1
31,歲八齋莊,1
32,八齋莊修,1
33,齋莊修祀,1
34,莊修祀事,1
35,修祀事旌,1
36,祀事旌旆,1
37,事旌旆出,1
38,旌旆出效,1
39,出效闉薙,1
40,赭堊新丁,1
41,效闉薙草,1
42,闉薙草軒,1
43,薙草軒墀,1
44,草軒墀狹,1
45,軒墀狹塗,1
46,墀狹塗牆,1
47,狹塗牆赭,1
48,塗牆赭堊,1
49,牆赭堊新,1
50,人丁巳歲,1
