排名,詞彙,出現次數
1,隴頭秋月,2
2,轉蓬輕天,2
3,馬屢驚霧,2
4,屢驚霧中,2
5,驚霧中寒,2
6,霧中寒雁,2
7,中寒雁至,2
8,寒雁至沙,2
9,雁至沙上,2
10,至沙上轉,2
11,沙上轉蓬,2
12,上轉蓬輕,2
13,蓬輕天山,2
14,頭秋月明,2
15,輕天山傳,2
16,天山傳羽,2
17,山傳羽檄,2
18,傳羽檄漢,2
19,羽檄漢地,2
20,檄漢地急,2
21,漢地急徵,2
22,地急徵兵,2
23,急徵兵陣,2
24,徵兵陣開,2
25,冰馬屢驚,2
26,乘冰馬屢,2
27,暗乘冰馬,2
28,猶暗乘冰,2
29,秋月明隴,2
30,月明隴水,2
31,明隴水帶,2
32,隴水帶關,2
33,水帶關城,2
34,帶關城笳,2
35,關城笳添,2
36,城笳添離,2
37,笳添離別,2
38,添離別曲,2
39,離別曲風,2
40,別曲風送,2
41,曲風送斷,2
42,風送斷腸,2
43,送斷腸聲,2
44,斷腸聲映,2
45,腸聲映雪,2
46,聲映雪峰,2
47,映雪峰猶,2
48,雪峰猶暗,2
49,峰猶暗乘,2
50,兵陣開都,2
