排名,詞彙,出現次數
1,題沈黎城,4
2,鐵騎耀楚,1
3,夜聞羽書,1
4,聞羽書至,1
5,羽書至召,1
6,書至召募,1
7,至召募此,1
8,召募此邊,1
9,募此邊州,1
10,此邊州鐵,1
11,邊州鐵騎,1
12,州鐵騎耀,1
13,騎耀楚甲,1
14,沈黎城蘇,1
15,耀楚甲玉,1
16,楚甲玉匣,1
17,甲玉匣橫,1
18,玉匣橫吳,1
19,匣橫吳鉤,1
20,橫吳鉤題,1
21,吳鉤題沈,1
22,鉤題沈黎,1
23,沈黎城雪,1
24,黎城雪厚,1
25,城夜聞羽,1
26,黎城夜聞,1
27,沈黎城夜,1
28,休題沈黎,1
29,黎城蘇子,1
30,城蘇子臥,1
31,蘇子臥北,1
32,子臥北海,1
33,臥北海馬,1
34,北海馬翁,1
35,海馬翁渡,1
36,馬翁渡南,1
37,翁渡南洲,1
38,渡南洲跡,1
39,南洲跡恨,1
40,洲跡恨事,1
41,跡恨事乃,1
42,恨事乃立,1
43,事乃立功,1
44,乃立功達,1
45,立功達名,1
46,功達名遂,1
47,達名遂休,1
48,名遂休題,1
49,遂休題沈,1
50,城雪厚群,1
