排名,詞彙,出現次數
1,嶺南歸後,1
2,一群漢聚,1
3,滄海城楊,1
4,海城楊柳,1
5,城楊柳鬱,1
6,楊柳鬱青,1
7,柳鬱青青,1
8,鬱青青中,1
9,青青中央,1
10,青中央一,1
11,中央一群,1
12,央一群漢,1
13,群漢聚坐,1
14,南歸後龍,1
15,漢聚坐打,1
16,聚坐打杯,1
17,坐打杯觥,1
18,秋日述懷,1
19,日述懷簷,1
20,述懷簷前,1
21,懷簷前飛,1
22,簷前飛七,1
23,前飛七百,1
24,飛七百雪,1
25,看滄海城,1
26,遙看滄海,1
27,州遙看滄,1
28,滄州遙看,1
29,歸後龍褒,1
30,後龍褒有,1
31,龍褒有何,1
32,褒有何罪,1
33,有何罪天,1
34,何罪天恩,1
35,罪天恩放,1
36,天恩放嶺,1
37,恩放嶺南,1
38,放嶺南敕,1
39,嶺南敕知,1
40,南敕知無,1
41,敕知無罪,1
42,知無罪過,1
43,無罪過追,1
44,罪過追來,1
45,過追來與,1
46,追來與將,1
47,來與將軍,1
48,初到滄州,1
49,到滄州遙,1
50,七百雪白,1
