排名,詞彙,出現次數
1,鳳歸雲二,4
2,二飲啄蓬,1
3,彩畫與佳,1
4,畫與佳人,1
5,與佳人刺,1
6,佳人刺繡,1
7,人刺繡衣,1
8,刺繡衣鳳,1
9,繡衣鳳歸,1
10,衣鳳歸雲,1
11,歸雲二飲,1
12,雲二飲啄,1
13,飲啄蓬山,1
14,歸雲二金,1
15,啄蓬山最,1
16,蓬山最上,1
17,山最上頭,1
18,最上頭和,1
19,上頭和煙,1
20,頭和煙飛,1
21,和煙飛下,1
22,煙飛下禁,1
23,飛下禁城,1
24,下禁城秋,1
25,文彩畫與,1
26,憐文彩畫,1
27,子憐文彩,1
28,公子憐文,1
29,雲二金井,1
30,二金井欄,1
31,金井欄邊,1
32,井欄邊見,1
33,欄邊見羽,1
34,邊見羽儀,1
35,見羽儀梧,1
36,羽儀梧桐,1
37,儀梧桐枝,1
38,梧桐枝上,1
39,桐枝上宿,1
40,枝上宿寒,1
41,上宿寒枝,1
42,宿寒枝鳳,1
43,寒枝鳳歸,1
44,枝鳳歸雲,1
45,歸雲二五,1
46,雲二五陵,1
47,二五陵公,1
48,五陵公子,1
49,陵公子憐,1
50,禁城秋鳳,1
