排名,詞彙,出現次數
1,北使長城,5
2,和宋之問,2
3,世築長城,1
4,明月心裴,1
5,月心裴回,1
6,心裴回兮,1
7,裴回兮不,1
8,回兮不能,1
9,兮不能還,1
10,使長城秦,1
11,長城秦世,1
12,城秦世築,1
13,秦世築長,1
14,築長城長,1
15,長城長城,1
16,城長城無,1
17,長城無極,1
18,城無極已,1
19,無極已暴,1
20,極已暴兵,1
21,已暴兵四,1
22,暴兵四十,1
23,兵四十萬,1
24,四十萬興,1
25,見明月心,1
26,兮見明月,1
27,口兮見明,1
28,谷口兮見,1
29,宋之問日,1
30,之問日雲,1
31,問日雲暮,1
32,日雲暮兮,1
33,雲暮兮下,1
34,暮兮下嵩,1
35,兮下嵩山,1
36,下嵩山路,1
37,嵩山路連,1
38,山路連綿,1
39,路連綿兮,1
40,連綿兮樹,1
41,綿兮樹石,1
42,兮樹石間,1
43,樹石間和,1
44,石間和宋,1
45,間和宋之,1
46,宋之問出,1
47,之問出谷,1
48,問出谷口,1
49,出谷口兮,1
50,十萬興工,1
