排名,詞彙,出現次數
1,和于興宗,2
2,罷都統守,2
3,謁梓潼張,2
4,張盛唐聖,1
5,入帝京恨,1
6,興宗錦繡,1
7,宗錦繡來,1
8,錦繡來仙,1
9,繡來仙境,1
10,來仙境風,1
11,仙境風光,1
12,境風光入,1
13,風光入帝,1
14,光入帝京,1
15,帝京恨無,1
16,潼張盛唐,1
17,于興宗錦,1
18,恨無青玉,1
19,無青玉案,1
20,青玉案何,1
21,玉案何以,1
22,案何以報,1
23,何以報高,1
24,以報高情,1
25,梓潼張盛,1
26,京恨無青,1
27,明和于興,1
28,山明和于,1
29,樓壓郡城,1
30,于興宗謝,1
31,興宗謝脁,1
32,宗謝脁題,1
33,謝脁題詩,1
34,脁題詩處,1
35,題詩處危,1
36,詩處危樓,1
37,處危樓壓,1
38,危樓壓郡,1
39,壓郡城雨,1
40,雪山明和,1
41,郡城雨餘,1
42,城雨餘江,1
43,雨餘江水,1
44,餘江水碧,1
45,江水碧雲,1
46,水碧雲斷,1
47,碧雲斷雪,1
48,雲斷雪山,1
49,斷雪山明,1
50,盛唐聖主,1
