排名,詞彙,出現次數
1,夢白衣婦,3
2,急眉黛小,1
3,圓背燈惟,1
4,背燈惟暗,1
5,燈惟暗泣,1
6,惟暗泣甚,1
7,暗泣甚處,1
8,泣甚處砧,1
9,甚處砧聲,1
10,處砧聲急,1
11,砧聲急眉,1
12,聲急眉黛,1
13,眉黛小山,1
14,白衣婦玉,1
15,黛小山攢,1
16,小山攢芭,1
17,山攢芭蕉,1
18,攢芭蕉生,1
19,芭蕉生暮,1
20,蕉生暮寒,1
21,生暮寒夢,1
22,暮寒夢白,1
23,寒夢白衣,1
24,白衣婦清,1
25,夢圓背燈,1
26,殘夢圓背,1
27,和殘夢圓,1
28,月和殘夢,1
29,衣婦玉京,1
30,婦玉京人,1
31,玉京人去,1
32,京人去秋,1
33,人去秋蕭,1
34,去秋蕭索,1
35,秋蕭索畫,1
36,蕭索畫簷,1
37,索畫簷鵲,1
38,畫簷鵲起,1
39,簷鵲起梧,1
40,鵲起梧桐,1
41,起梧桐落,1
42,梧桐落欹,1
43,桐落欹枕,1
44,落欹枕悄,1
45,欹枕悄無,1
46,枕悄無言,1
47,悄無言月,1
48,無言月和,1
49,言月和殘,1
50,衣婦清風,1
