排名,詞彙,出現次數
1,奉和夏日,3
2,悠然動睿,1
3,照灼晚花,1
4,灼晚花鮮,1
5,晚花鮮潺,1
6,花鮮潺湲,1
7,鮮潺湲夕,1
8,潺湲夕流,1
9,湲夕流響,1
10,夕流響悠,1
11,流響悠然,1
12,響悠然動,1
13,然動睿思,1
14,和夏日首,1
15,動睿思息,1
16,睿思息駕,1
17,思息駕尋,1
18,息駕尋真,1
19,駕尋真賞,1
20,尋真賞奉,1
21,真賞奉和,1
22,賞奉和夏,1
23,和夏日掞,1
24,夏日掞彼,1
25,日照灼晚,1
26,夏日照灼,1
27,和夏日照,1
28,丈奉和夏,1
29,夏日首夏,1
30,日首夏林,1
31,首夏林壑,1
32,夏林壑清,1
33,林壑清薄,1
34,壑清薄暮,1
35,清薄暮煙,1
36,薄暮煙霞,1
37,暮煙霞上,1
38,煙霞上連,1
39,霞上連岩,1
40,上連岩聳,1
41,連岩聳百,1
42,岩聳百仞,1
43,聳百仞絕,1
44,百仞絕壑,1
45,仞絕壑臨,1
46,絕壑臨千,1
47,壑臨千丈,1
48,臨千丈奉,1
49,千丈奉和,1
50,日掞彼渦,1
