排名,詞彙,出現次數
1,日晚梧桐,1
2,欲黃昏禁,1
3,泣舊恩不,1
4,舊恩不堪,1
5,恩不堪深,1
6,不堪深殿,1
7,堪深殿裏,1
8,深殿裏簾,1
9,殿裏簾外,1
10,裏簾外欲,1
11,簾外欲黃,1
12,外欲黃昏,1
13,黃昏禁苑,1
14,晚梧桐落,1
15,昏禁苑春,1
16,禁苑春風,1
17,苑春風起,1
18,春風起流,1
19,風起流鶯,1
20,起流鶯繞,1
21,流鶯繞合,1
22,鶯繞合歡,1
23,繞合歡玉,1
24,合歡玉窗,1
25,容泣舊恩,1
26,愁容泣舊,1
27,寵愁容泣,1
28,新寵愁容,1
29,梧桐落微,1
30,桐落微寒,1
31,落微寒入,1
32,微寒入禁,1
33,寒入禁垣,1
34,入禁垣月,1
35,禁垣月懸,1
36,垣月懸三,1
37,月懸三雀,1
38,懸三雀觀,1
39,三雀觀霜,1
40,雀觀霜度,1
41,觀霜度萬,1
42,霜度萬秋,1
43,度萬秋門,1
44,萬秋門豔,1
45,秋門豔舞,1
46,門豔舞矜,1
47,豔舞矜新,1
48,舞矜新寵,1
49,矜新寵愁,1
50,歡玉窗通,1
