排名,詞彙,出現次數
1,講德陳情,16
2,冬杪歸陵,10
3,陳情獻江,10
4,聞蟬十二,6
5,汴河十二,6
6,題鄭侍郎,5
7,題甘露寺,5
8,題汧湖二,4
9,送徐侍禦,4
10,成紀書事,4
11,送王侍禦,4
12,塞下二首,4
13,寄睦州陸,2
14,雁門關野,2
15,五原書事,2
16,送從弟歸,2
17,留別故人,2
18,題張喬升,2
19,題鄭拾遺,2
20,渭上送人,2
21,夏州道中,2
22,投徐端公,2
23,新年呈友,2
24,銀州北書,2
25,寄趙能卿,2
26,送李左丞,2
27,經故楊太,2
28,東歸次採,2
29,隴上書事,2
30,題青山館,2
31,重歸江南,2
32,寄盩厔薛,2
33,國亂離後,2
34,過洞庭湖,2
35,登渭南縣,2
36,送李頻之,2
37,過中條山,2
38,早發洛中,2
39,汝州郡樓,2
40,將歸江南,2
41,塞外書事,2
42,送龍州樊,2
43,日暮江上,2
44,送李員外,2
45,春暮途次,2
46,旅次滑台,2
47,寄黔南李,2
48,東歸留辭,2
49,題開明裏,2
50,誰知江徼,2
