排名,詞彙,出現次數
1,奉和初春,2
2,間出樹雜,1
3,正下鳳樓,1
4,下鳳樓迎,1
5,鳳樓迎花,1
6,樓迎花含,1
7,迎花含步,1
8,花含步輦,1
9,含步輦空,1
10,步輦空間,1
11,輦空間出,1
12,空間出樹,1
13,出樹雜帷,1
14,和初春沁,1
15,樹雜帷宮,1
16,雜帷宮畫,1
17,帷宮畫裏,1
18,宮畫裏行,1
19,畫裏行奉,1
20,裏行奉和,1
21,行奉和初,1
22,和初春無,1
23,初春無路,1
24,春無路乘,1
25,仙正下鳳,1
26,雙仙正下,1
27,幸雙仙正,1
28,殿幸雙仙,1
29,初春沁園,1
30,春沁園佳,1
31,沁園佳麗,1
32,園佳麗奪,1
33,佳麗奪蓬,1
34,麗奪蓬瀛,1
35,奪蓬瀛翠,1
36,蓬瀛翠壁,1
37,瀛翠壁紅,1
38,翠壁紅泉,1
39,壁紅泉繞,1
40,紅泉繞上,1
41,泉繞上京,1
42,繞上京二,1
43,上京二聖,1
44,京二聖忽,1
45,二聖忽從,1
46,聖忽從鸞,1
47,忽從鸞殿,1
48,從鸞殿幸,1
49,鸞殿幸雙,1
50,無路乘槎,1
