排名,詞彙,出現次數
1,和李德裕,5
2,中書相公,5
3,贈毛仙翁,4
4,翁紅肌絲,1
5,眉刷青松,1
6,刷青松姿,1
7,青松姿本,1
8,松姿本秀,1
9,姿本秀鶴,1
10,本秀鶴質,1
11,秀鶴質自,1
12,鶴質自輕,1
13,質自輕道,1
14,自輕道德,1
15,輕道德神,1
16,濃眉刷青,1
17,德神仙內,1
18,神仙內蘊,1
19,仙內蘊心,1
20,內蘊心靈,1
21,蘊心靈贈,1
22,心靈贈毛,1
23,靈贈毛仙,1
24,毛仙翁紅,1
25,仙翁紅肌,1
26,道德神仙,1
27,丹濃眉刷,1
28,渥丹濃眉,1
29,長生爰觀,1
30,毛仙翁至,1
31,仙翁至道,1
32,翁至道無,1
33,至道無名,1
34,道無名至,1
35,無名至人,1
36,名至人長,1
37,至人長生,1
38,人長生爰,1
39,生爰觀繪,1
40,口渥丹濃,1
41,爰觀繪事,1
42,觀繪事似,1
43,繪事似挹,1
44,事似挹真,1
45,似挹真形,1
46,挹真形方,1
47,真形方口,1
48,形方口渥,1
49,方口渥丹,1
50,紅肌絲發,1
