排名,詞彙,出現次數
1,山行書事,6
2,山居雨霽,6
3,聞韋駙馬,6
4,楚州鹽壒,4
5,代別後夢,2
6,山行經村,2
7,秋日登山,2
8,杭州秋日,2
9,傷故人歌,2
10,擬古詠河,2
11,春色寄苔,1
12,無機承雨,1
13,機承雨露,1
14,承雨露卻,1
15,雨露卻將,1
16,露卻將春,1
17,卻將春色,1
18,將春色寄,1
19,愁多不忍,1
20,色寄苔痕,1
21,別友人愁,1
22,友人愁多,1
23,人愁多不,1
24,應是無機,1
25,多不忍醒,1
26,不忍醒時,1
27,忍醒時別,1
28,醒時別想,1
29,是無機承,1
30,心存擬古,1
31,河應是無,1
32,詠河應是,1
33,古詠河野,1
34,詠河野火,1
35,河野火燒,1
36,野火燒枝,1
37,火燒枝水,1
38,燒枝水洗,1
39,枝水洗根,1
40,水洗根數,1
41,洗根數圍,1
42,根數圍孤,1
43,數圍孤樹,1
44,圍孤樹半,1
45,孤樹半心,1
46,樹半心存,1
47,半心存擬,1
48,存擬古詠,1
49,古詠河應,1
50,時別想極,1
