排名,詞彙,出現次數
1,和劉補闕,12
2,哀蜀人為,10
3,和河南白,6
4,蜀中戰後,5
5,盧嶽閒居,5
6,訪友人幽,4
7,題等界寺,4
8,送客二首,4
9,聞杜鵑二,4
10,恨別二首,4
11,明月照高,4
12,答蜀中經,3
13,送於中丞,3
14,長安客感,2
15,河陰新城,2
16,秋居病中,2
17,罷還邊將,2
18,永樂殷堯,2
19,酬李紺歲,2
20,蜀路倦行,2
21,寄永樂殷,2
22,送人歸吳,2
23,早秋月夜,2
24,題情盡橋,2
25,韋處士郊,2
26,再下第將,2
27,春行武關,2
28,哭饒州吳,2
29,路中問程,2
30,離家後作,2
31,經杜甫舊,2
32,送契玄上,2
33,贈玉芝觀,2
34,憶山寄僧,2
35,酬秘書王,2
36,僧金河戍,2
37,送徐使君,2
38,送裴璋還,2
39,送前鄠縣,2
40,送宜春裴,2
41,贈宗靜上,2
42,同賈島宿,2
43,劉補闕晚,2
44,岳陽晚景,2
45,塞上宿野,2
46,寒食夜池,2
47,詠雙白鷺,2
48,送徐山人,2
49,到蜀後記,2
50,寄題峴亭,2
