排名,詞彙,出現次數
1,謝白樂天,2
2,青嶂明月,1
3,引水種金,1
4,水種金蓮,1
5,種金蓮白,1
6,金蓮白雲,1
7,蓮白雲乍,1
8,白雲乍可,1
9,雲乍可來,1
10,乍可來青,1
11,可來青嶂,1
12,來青嶂明,1
13,嶂明月難,1
14,白樂天山,1
15,明月難教,1
16,月難教下,1
17,難教下碧,1
18,教下碧天,1
19,下碧天謝,1
20,碧天謝白,1
21,天謝白樂,1
22,白樂天城,1
23,樂天城市,1
24,天城市不,1
25,能引水種,1
26,惟能引水,1
27,勒惟能引,1
28,玉勒惟能,1
29,樂天山僧,1
30,天山僧野,1
31,山僧野性,1
32,僧野性好,1
33,野性好林,1
34,性好林泉,1
35,好林泉每,1
36,林泉每向,1
37,泉每向岩,1
38,每向岩阿,1
39,向岩阿倚,1
40,岩阿倚石,1
41,阿倚石眠,1
42,倚石眠不,1
43,石眠不解,1
44,眠不解栽,1
45,不解栽松,1
46,解栽松陪,1
47,栽松陪玉,1
48,松陪玉勒,1
49,陪玉勒惟,1
50,城市不能,1
