排名,詞彙,出現次數
1,桐葉,5
2,書桐,4
3,相思,3
4,思字,2
5,字書,2
6,此字,2
7,字不,2
8,不書,2
9,天下,2
10,有心,2
11,心人,2
12,負心,2
13,葉拭,1
14,拭翠,1
15,翠斂,1
16,斂蛾,1
17,蛾眉,1
18,眉鬱,1
19,鬱鬱,1
20,鬱心,1
21,心中,1
22,中事,1
23,事搦,1
24,搦管,1
25,管下,1
26,下庭,1
27,庭除,1
28,除書,1
29,書成,1
30,成相,1
31,葉此,1
32,書石,1
33,石此,1
34,書紙,1
35,紙書,1
36,書在,1
37,在桐,1
38,葉上,1
39,上願,1
40,願逐,1
41,逐秋,1
42,秋風,1
43,風起,1
44,起書,1
45,葉天,1
46,下有,1
47,人盡,1
48,盡解,1
49,解相,1
50,思死,1
51,死天,1
52,下負,1
53,人不,1
54,不識,1
55,識相,1
56,葉有,1
57,心與,1
58,與負,1
59,心不,1
60,不知,1
61,知落,1
62,落何,1
63,何地,1
