排名,詞彙,出現次數
1,顧十二況,6
2,十二況寵,1
3,二況寵至,1
4,況寵至乃,1
5,寵至乃不,1
6,至乃不驚,1
7,乃不驚罪,1
8,不驚罪及,1
9,驚罪及非,1
10,罪及非無,1
11,及非無由,1
12,非無由奔,1
13,無由奔迸,1
14,由奔迸曆,1
15,奔迸曆畏,1
16,迸曆畏途,1
17,曆畏途緬,1
18,畏途緬邈,1
19,途緬邈赴,1
20,緬邈赴偏,1
21,邈赴偏陬,1
22,赴偏陬顧,1
23,偏陬顧十,1
24,陬顧十二,1
25,十二況牧,1
26,二況牧此,1
27,況牧此凋,1
28,牧此凋弊,1
29,此凋弊甿,1
30,凋弊甿屬,1
31,弊甿屬當,1
32,甿屬當賦,1
33,屬當賦斂,1
34,當賦斂秋,1
35,賦斂秋夙,1
36,斂秋夙興,1
37,秋夙興諒,1
38,夙興諒無,1
39,興諒無補,1
40,諒無補旬,1
41,無補旬暇,1
42,補旬暇焉,1
43,旬暇焉敢,1
44,暇焉敢休,1
45,焉敢休顧,1
46,敢休顧十,1
47,休顧十二,1
48,十二況前,1
49,二況前日,1
50,況前日懷,1
51,前日懷友,1
52,日懷友生,1
53,懷友生獨,1
54,友生獨登,1
55,生獨登城,1
56,獨登城上,1
57,登城上樓,1
58,城上樓迢,1
59,上樓迢迢,1
60,樓迢迢西,1
61,迢迢西北,1
62,迢西北望,1
63,西北望遠,1
64,北望遠思,1
65,望遠思不,1
66,遠思不可,1
67,思不可收,1
68,不可收顧,1
69,可收顧十,1
70,收顧十二,1
71,十二況今,1
72,二況今日,1
73,況今日車,1
74,今日車騎,1
75,日車騎來,1
76,車騎來曠,1
77,騎來曠然,1
78,來曠然銷,1
79,曠然銷人,1
80,然銷人憂,1
81,銷人憂晨,1
82,人憂晨迎,1
83,憂晨迎東,1
84,晨迎東齋,1
85,迎東齋飯,1
86,東齋飯晚,1
87,齋飯晚度,1
88,飯晚度南,1
89,晚度南溪,1
90,度南溪遊,1
91,南溪遊顧,1
92,溪遊顧十,1
93,遊顧十二,1
94,十二況以,1
95,二況以我,1
96,況以我碧,1
97,以我碧流,1
98,我碧流水,1
99,碧流水泊,1
100,流水泊君,1
101,水泊君青,1
102,泊君青翰,1
103,君青翰舟,1
104,青翰舟莫,1
105,翰舟莫將,1
106,舟莫將遷,1
107,莫將遷客,1
108,將遷客程,1
109,遷客程不,1
110,客程不為,1
111,程不為勝,1
112,不為勝境,1
113,為勝境留,1
114,勝境留顧,1
115,境留顧十,1
116,留顧十二,1
117,十二況飛,1
118,二況飛劄,1
119,況飛劄謝,1
120,飛劄謝三,1
121,劄謝三守,1
122,謝三守斯,1
123,三守斯篇,1
124,守斯篇希,1
125,斯篇希見,1
126,篇希見酬,1
127,希見酬貢,1
128,見酬貢院,1
129,酬貢院寄,1
130,貢院寄前,1
131,院寄前獨,1
132,寄前獨坐,1
133,前獨坐貢,1
134,獨坐貢闈,1
135,坐貢闈裏,1
136,貢闈裏愁,1
137,闈裏愁心,1
138,裏愁心芳,1
139,愁心芳草,1
140,心芳草生,1
141,芳草生山,1
142,草生山公,1
143,生山公昨,1
144,山公昨夜,1
145,公昨夜事,1
146,昨夜事應,1
147,夜事應見,1
148,事應見此,1
149,應見此時,1
150,見此時情,1
