排名,詞彙,出現次數
1,紛吾因暇,1
2,吾因暇豫,1
3,因暇豫行,1
4,暇豫行樂,1
5,豫行樂極,1
6,行樂極留,1
7,樂極留連,1
8,極留連尋,1
9,留連尋真,1
10,連尋真謁,1
11,尋真謁紫,1
12,真謁紫府,1
13,謁紫府披,1
14,紫府披霧,1
15,府披霧覿,1
16,披霧覿青,1
17,霧覿青天,1
18,覿青天緬,1
19,青天緬懷,1
20,天緬懷金,1
21,緬懷金闕,1
22,懷金闕外,1
23,金闕外遐,1
24,闕外遐想,1
25,外遐想玉,1
26,遐想玉京,1
27,想玉京前,1
28,玉京前飛,1
29,京前飛軒,1
30,前飛軒俯,1
31,飛軒俯松,1
32,軒俯松柏,1
33,俯松柏抗,1
34,松柏抗殿,1
35,柏抗殿接,1
36,抗殿接雲,1
37,殿接雲煙,1
38,接雲煙滔,1
39,雲煙滔滔,1
40,煙滔滔清,1
41,滔滔清夏,1
42,滔清夏景,1
43,清夏景嘒,1
44,夏景嘒嘒,1
45,景嘒嘒早,1
46,嘒嘒早秋,1
47,嘒早秋蟬,1
48,早秋蟬橫,1
49,秋蟬橫琴,1
50,蟬橫琴對,1
51,橫琴對危,1
52,琴對危石,1
53,對危石酌,1
54,危石酌醴,1
55,石酌醴臨,1
56,酌醴臨寒,1
57,醴臨寒泉,1
58,臨寒泉聊,1
59,寒泉聊祛,1
60,泉聊祛塵,1
61,聊祛塵俗,1
62,祛塵俗累,1
63,塵俗累寧,1
64,俗累寧希,1
65,累寧希龜,1
66,寧希龜鶴,1
67,希龜鶴年,1
68,龜鶴年無,1
69,鶴年無勞,1
70,年無勞生,1
71,無勞生羽,1
72,勞生羽翼,1
73,生羽翼自,1
74,羽翼自可,1
75,翼自可狎,1
76,自可狎神,1
77,可狎神仙,1
78,狎神仙清,1
79,神仙清晨,1
80,仙清晨發,1
81,清晨發岩,1
82,晨發岩邑,1
83,發岩邑車,1
84,岩邑車馬,1
85,邑車馬走,1
86,車馬走轘,1
87,馬走轘轅,1
88,走轘轅回,1
89,轘轅回瞰,1
90,轅回瞰黃,1
91,回瞰黃河,1
92,瞰黃河上,1
93,黃河上惝,1
94,河上惝怳,1
95,上惝怳屢,1
96,惝怳屢飛,1
97,怳屢飛魂,1
98,屢飛魂鴻,1
99,飛魂鴻流,1
100,魂鴻流遵,1
101,鴻流遵積,1
102,流遵積石,1
103,遵積石驚,1
104,積石驚浪,1
105,石驚浪下,1
106,驚浪下龍,1
107,浪下龍門,1
108,下龍門仙,1
109,龍門仙槎,1
110,門仙槎不,1
111,仙槎不辨,1
112,槎不辨處,1
113,不辨處沉,1
114,辨處沉璧,1
115,處沉璧想,1
116,沉璧想猶,1
117,璧想猶存,1
118,想猶存遠,1
119,猶存遠近,1
120,存遠近洲,1
121,遠近洲渚,1
122,近洲渚出,1
123,洲渚出颯,1
124,渚出颯遝,1
125,出颯遝鳧,1
126,颯遝鳧雁,1
127,遝鳧雁喧,1
128,鳧雁喧懷,1
129,雁喧懷古,1
130,喧懷古空,1
131,懷古空延,1
132,古空延佇,1
133,空延佇歎,1
134,延佇歎逝,1
135,佇歎逝將,1
136,歎逝將何,1
137,逝將何言,1
138,將何言吾,1
139,何言吾王,1
140,言吾王遊,1
141,吾王遊勝,1
142,王遊勝地,1
143,遊勝地驂,1
144,勝地驂駕,1
145,地驂駕曆,1
146,驂駕曆祇,1
147,駕曆祇園,1
148,曆祇園臨,1
149,祇園臨風,1
150,園臨風畫,1
151,臨風畫角,1
152,風畫角憤,1
153,畫角憤耀,1
154,角憤耀日,1
155,憤耀日采,1
156,耀日采旗,1
157,日采旗翻,1
158,采旗翻永,1
159,旗翻永懷,1
160,翻永懷筌,1
161,永懷筌了,1
162,懷筌了義,1
163,筌了義寂,1
164,了義寂念,1
165,義寂念啟,1
166,寂念啟玄,1
167,念啟玄門,1
168,啟玄門深,1
169,玄門深溪,1
170,門深溪窮,1
171,深溪窮地,1
172,溪窮地脈,1
173,窮地脈高,1
174,地脈高嶂,1
175,脈高嶂接,1
176,高嶂接雲,1
177,嶂接雲根,1
178,接雲根信,1
179,雲根信美,1
180,根信美諧,1
181,信美諧心,1
182,美諧心賞,1
183,諧心賞幽,1
184,心賞幽邃,1
185,賞幽邃且,1
186,幽邃且攀,1
187,邃且攀援,1
188,且攀援曳,1
189,攀援曳裾,1
190,援曳裾欣,1
191,曳裾欣扈,1
192,裾欣扈從,1
193,欣扈從方,1
194,扈從方悟,1
195,從方悟屏,1
196,方悟屏塵,1
197,悟屏塵喧,1
198,屏塵喧解,1
199,塵喧解襟,1
200,喧解襟遊,1
201,解襟遊勝,1
202,襟遊勝地,1
203,遊勝地披,1
204,勝地披雲,1
205,地披雲促,1
206,披雲促宴,1
207,雲促宴筵,1
208,促宴筵清,1
209,宴筵清文,1
210,筵清文振,1
211,清文振筆,1
212,文振筆妙,1
213,振筆妙高,1
214,筆妙高論,1
215,妙高論寫,1
216,高論寫言,1
217,論寫言泉,1
218,寫言泉凍,1
219,言泉凍柳,1
220,泉凍柳含,1
221,凍柳含風,1
222,柳含風落,1
223,含風落寒,1
224,風落寒梅,1
225,落寒梅照,1
226,寒梅照日,1
227,梅照日鮮,1
228,照日鮮驪,1
229,日鮮驪歌,1
230,鮮驪歌雖,1
231,驪歌雖欲,1
232,歌雖欲奏,1
233,雖欲奏歸,1
234,欲奏歸駕,1
235,奏歸駕且,1
236,歸駕且留,1
237,駕且留連,1
238,且留連鄉,1
239,留連鄉關,1
240,連鄉關渺,1
241,鄉關渺天,1
242,關渺天末,1
243,渺天末引,1
244,天末引領,1
245,末引領悵,1
246,引領悵懷,1
247,領悵懷歸,1
248,悵懷歸羈,1
249,懷歸羈旅,1
250,歸羈旅久,1
251,羈旅久淫,1
252,旅久淫滯,1
253,久淫滯物,1
254,淫滯物色,1
255,滯物色屢,1
256,物色屢芳,1
257,色屢芳菲,1
258,屢芳菲稍,1
259,芳菲稍覺,1
260,菲稍覺私,1
261,稍覺私意,1
262,覺私意盡,1
263,私意盡行,1
264,意盡行看,1
265,盡行看蓬,1
266,行看蓬鬢,1
267,看蓬鬢衰,1
268,蓬鬢衰如,1
269,鬢衰如何,1
270,衰如何千,1
271,如何千裏,1
272,何千裏外,1
273,千裏外佇,1
274,裏外佇立,1
275,外佇立沾,1
276,佇立沾裳,1
277,立沾裳衣,1
278,沾裳衣涼,1
279,裳衣涼秋,1
280,衣涼秋夜,1
281,涼秋夜笛,1
282,秋夜笛鳴,1
283,夜笛鳴流,1
284,笛鳴流風,1
285,鳴流風韻,1
286,流風韻九,1
287,風韻九成,1
288,韻九成調,1
289,九成調高,1
290,成調高時,1
291,調高時慷,1
292,高時慷慨,1
293,時慷慨曲,1
294,慷慨曲變,1
295,慨曲變或,1
296,曲變或淒,1
297,變或淒清,1
298,或淒清征,1
299,淒清征客,1
300,清征客懷,1
301,征客懷離,1
302,客懷離緒,1
303,懷離緒鄰,1
304,離緒鄰人,1
305,緒鄰人思,1
306,鄰人思舊,1
307,人思舊情,1
308,思舊情幸,1
309,舊情幸以,1
310,情幸以知,1
311,幸以知音,1
312,以知音顧,1
313,知音顧千,1
314,音顧千載,1
315,顧千載有,1
316,千載有奇,1
317,載有奇聲,1
318,有奇聲流,1
319,奇聲流鶯,1
320,聲流鶯拂,1
321,流鶯拂繡,1
322,鶯拂繡羽,1
323,拂繡羽二,1
324,繡羽二月,1
325,羽二月上,1
326,二月上林,1
327,月上林期,1
328,上林期待,1
329,林期待雪,1
330,期待雪消,1
331,待雪消金,1
332,雪消金禁,1
333,消金禁銜,1
334,金禁銜花,1
335,禁銜花向,1
336,銜花向玉,1
337,花向玉墀,1
338,向玉墀翅,1
339,玉墀翅掩,1
340,墀翅掩飛,1
341,翅掩飛燕,1
342,掩飛燕舞,1
343,飛燕舞啼,1
344,燕舞啼惱,1
345,舞啼惱婕,1
346,啼惱婕妤,1
347,惱婕妤悲,1
348,婕妤悲料,1
349,妤悲料取,1
350,悲料取金,1
351,料取金閨,1
352,取金閨意,1
353,金閨意因,1
354,閨意因君,1
355,意因君問,1
356,因君問所,1
357,君問所思,1
