排名,詞彙,出現次數
1,朔風吹,1
2,風吹寒,1
3,吹寒塞,1
4,寒塞胡,1
5,塞胡沙,1
6,胡沙千,1
7,沙千萬,1
8,千萬里,1
9,萬里陳,1
10,里陳雲,1
11,陳雲出,1
12,雲出岱,1
13,出岱山,1
14,岱山孤,1
15,山孤月,1
16,孤月生,1
17,月生海,1
18,生海水,1
19,海水決,1
20,水決勝,1
21,決勝方,1
22,勝方求,1
23,方求敵,1
24,求敵銜,1
25,敵銜恩,1
26,銜恩本,1
27,恩本輕,1
28,本輕死,1
29,輕死蕭,1
30,死蕭蕭,1
31,蕭蕭牧,1
32,蕭牧馬,1
33,牧馬鳴,1
34,馬鳴中,1
35,鳴中夜,1
36,中夜拔,1
37,夜拔劍,1
38,拔劍起,1
39,劍起紫,1
40,起紫宸,1
41,紫宸飛,1
42,宸飛雪,1
43,飛雪曉,1
44,雪曉裴,1
45,曉裴回,1
46,裴回層,1
47,回層閣,1
48,層閣重,1
49,閣重門,1
50,重門雪,1
51,門雪照,1
52,雪照開,1
53,照開九,1
54,開九衢,1
55,九衢皛,1
56,衢皛耀,1
57,皛耀浮,1
58,耀浮埃,1
59,浮埃盡,1
60,埃盡千,1
61,盡千品,1
62,千品差,1
63,品差池,1
64,差池贄,1
65,池贄帛,1
66,贄帛來,1
67,帛來何,1
68,來何處,1
69,何處田,1
70,處田中,1
71,田中非,1
72,中非種,1
73,非種玉,1
74,種玉誰,1
75,玉誰家,1
76,誰家院,1
77,家院裏,1
78,院裏不,1
79,裏不生,1
80,不生梅,1
81,生梅埋,1
82,梅埋雲,1
83,埋雲翳,1
84,雲翳景,1
85,翳景無,1
86,景無窮,1
87,無窮已,1
88,窮已因,1
89,已因風,1
90,因風落,1
91,風落地,1
92,落地吹,1
93,地吹還,1
94,吹還起,1
95,還起先,1
96,起先過,1
97,先過翡,1
98,過翡翠,1
99,翡翠寶,1
100,翠寶房,1
101,寶房中,1
102,房中轉,1
103,中轉入,1
104,轉入鴛,1
105,入鴛鴦,1
106,鴛鴦金,1
107,鴦金殿,1
108,金殿裏,1
109,殿裏美,1
110,裏美人,1
111,美人含,1
112,人含笑,1
113,含笑出,1
114,笑出聯,1
115,出聯翩,1
116,聯翩豔,1
117,翩豔逸,1
118,豔逸相,1
119,逸相輕,1
120,相輕鬥,1
121,輕鬥容,1
122,鬥容止,1
123,容止羅,1
124,止羅衣,1
125,羅衣點,1
126,衣點著,1
127,點著渾,1
128,著渾是,1
129,渾是花,1
130,是花玉,1
131,花玉手,1
132,玉手摶,1
133,手摶來,1
134,摶來半,1
135,來半成,1
136,半成水,1
137,成水奕,1
138,水奕奕,1
139,奕奕紛,1
140,奕紛紛,1
141,紛紛何,1
142,紛何所,1
143,何所如,1
144,所如頓,1
145,如頓憶,1
146,頓憶楊,1
147,憶楊園,1
148,楊園二,1
149,園二月,1
150,二月初,1
151,月初羞,1
152,初羞同,1
153,羞同班,1
154,同班女,1
155,班女高,1
156,女高秋,1
157,高秋扇,1
158,秋扇欲,1
159,扇欲照,1
160,欲照明,1
161,照明王,1
162,明王乙,1
163,王乙夜,1
164,乙夜書,1
165,夜書姑,1
166,書姑射,1
167,姑射山,1
168,射山中,1
169,山中符,1
170,中符聖,1
171,符聖壽,1
172,聖壽芙,1
173,壽芙蓉,1
174,芙蓉闕,1
175,蓉闕下,1
176,闕下降,1
177,下降神,1
178,降神車,1
179,神車願,1
180,車願隨,1
181,願隨睿,1
182,隨睿澤,1
183,睿澤流,1
184,澤流無,1
185,流無限,1
186,無限長,1
187,限長報,1
188,長報豐,1
189,報豐年,1
190,豐年貴,1
191,年貴有,1
192,貴有餘,1
193,有餘物,1
194,餘物情,1
195,物情良,1
196,情良可,1
197,良可見,1
198,可見人,1
199,見人事,1
200,人事不,1
201,事不勝,1
202,不勝悲,1
203,勝悲莫,1
204,悲莫恃,1
205,莫恃朝,1
206,恃朝榮,1
207,朝榮好,1
208,榮好君,1
209,好君看,1
210,君看暮,1
211,看暮落,1
212,暮落時,1
213,落時銅,1
214,時銅台,1
215,銅台宮,1
216,台宮觀,1
217,宮觀委,1
218,觀委灰,1
219,委灰塵,1
220,灰塵魏,1
221,塵魏主,1
222,魏主園,1
223,主園林,1
224,園林漳,1
225,林漳水,1
226,漳水濱,1
227,水濱即,1
228,濱即今,1
229,即今西,1
230,今西望,1
231,西望猶,1
232,望猶堪,1
233,猶堪思,1
234,堪思況,1
235,思況複,1
236,況複當,1
237,複當時,1
238,當時歌,1
239,時歌舞,1
240,歌舞人,1
