排名,詞彙,出現次數
1,吳江浪浸白蒲春,1
2,江浪浸白蒲春越,1
3,浪浸白蒲春越女,1
4,浸白蒲春越女初,1
5,白蒲春越女初挑,1
6,蒲春越女初挑一,1
7,春越女初挑一樣,1
8,越女初挑一樣新,1
9,女初挑一樣新才,1
10,初挑一樣新才自,1
11,挑一樣新才自繡,1
12,一樣新才自繡窗,1
13,樣新才自繡窗離,1
14,新才自繡窗離玉,1
15,才自繡窗離玉指,1
16,自繡窗離玉指便,1
17,繡窗離玉指便隨,1
18,窗離玉指便隨羅,1
19,離玉指便隨羅襪,1
20,玉指便隨羅襪上,1
21,指便隨羅襪上香,1
22,便隨羅襪上香塵,1
23,隨羅襪上香塵石,1
24,羅襪上香塵石榴,1
25,襪上香塵石榴裙,1
26,上香塵石榴裙下,1
27,香塵石榴裙下從,1
28,塵石榴裙下從容,1
29,石榴裙下從容久,1
30,榴裙下從容久玳,1
31,裙下從容久玳瑁,1
32,下從容久玳瑁筵,1
33,從容久玳瑁筵前,1
34,容久玳瑁筵前整,1
35,久玳瑁筵前整頓,1
36,玳瑁筵前整頓頻,1
37,瑁筵前整頓頻今,1
38,筵前整頓頻今日,1
39,前整頓頻今日高,1
40,整頓頻今日高樓,1
41,頓頻今日高樓鴛,1
42,頻今日高樓鴛瓦,1
43,今日高樓鴛瓦上,1
44,日高樓鴛瓦上不,1
45,高樓鴛瓦上不知,1
46,樓鴛瓦上不知拋,1
47,鴛瓦上不知拋擲,1
48,瓦上不知拋擲是,1
49,上不知拋擲是何,1
50,不知拋擲是何人,1
