排名,詞彙,出現次數
1,生,2
2,夜,2
3,武,2
4,不,2
5,終,2
6,宴,2
7,知,2
8,共,2
9,長,2
10,崔,1
11,犯,1
12,行,1
13,候,1
14,正,1
15,嚴,1
16,更,1
17,襆,1
18,頭,1
19,拳,1
20,下,1
21,落,1
22,高,1
23,髻,1
24,掌,1
25,中,1
26,擎,1
27,杖,1
28,跡,1
29,胸,1
30,前,1
31,出,1
32,繩,1
33,文,1
34,腕,1
35,後,1
36,愁,1
37,人,1
38,惜,1
39,隨,1
40,意,1
41,曉,1
42,參,1
43,橫,1
44,陵,1
45,敬,1
46,愛,1
47,客,1
48,疲,1
49,遣,1
50,渾,1
51,王,1
52,飲,1
53,錯,1
54,延,1
55,陀,1
56,兒,1
57,始,1
58,被,1
59,鴻,1
60,臚,1
61,識,1
62,蒙,1
63,禦,1
64,史,1
65,精,1
66,神,1
67,既,1
68,如,1
69,此,1
70,歎,1
71,複,1
72,何,1
73,為,1
74,叔,1
75,慎,1
76,騎,1
77,烏,1
78,馬,1
79,僧,1
80,伽,1
81,把,1
82,漆,1
83,弓,1
84,喚,1
85,取,1
86,安,1
87,令,1
88,獵,1
89,北,1
90,山,1
91,熊,1
