排名,詞彙,出現次數
1,不,9
2,君,9
3,同,8
4,江,7
5,日,7
6,和,6
7,送,6
8,相,6
9,外,6
10,家,6
11,州,5
12,公,5
13,山,5
14,生,5
15,為,5
16,別,5
17,行,5
18,人,5
19,須,5
20,風,5
21,王,5
22,夜,5
23,下,5
24,上,5
25,使,5
26,入,4
27,過,4
28,花,4
29,名,4
30,長,4
31,無,4
32,是,4
33,南,4
34,去,4
35,曉,4
36,來,4
37,程,4
38,一,4
39,看,4
40,有,4
41,出,4
42,聲,4
43,苗,4
44,員,4
45,闕,4
46,處,4
47,侍,4
48,禦,4
49,留,4
50,得,4
51,臨,3
52,柳,3
53,今,3
54,歌,3
55,郎,3
56,中,3
57,難,3
58,葉,3
59,經,3
60,子,3
61,更,3
62,回,3
63,琴,3
64,到,3
65,迢,3
66,列,3
67,月,3
68,雲,3
69,吹,3
70,五,3
71,獨,3
72,寄,3
73,遠,3
74,賦,3
75,朝,3
76,裏,3
77,分,3
78,歡,3
79,憐,3
80,平,3
81,垂,3
82,樂,3
83,懸,3
84,霜,3
85,馬,3
86,因,3
87,未,3
88,眾,3
89,時,3
90,婺,3
91,秤,3
92,孟,2
93,虔,2
94,郡,2
95,鄰,2
96,嶺,2
97,庭,2
98,閑,2
99,鳥,2
100,幹,2
101,欲,2
102,聽,2
103,李,2
104,本,2
105,稀,2
106,識,2
107,沙,2
108,稱,2
109,新,2
110,亭,2
111,修,2
112,閻,2
113,伯,2
114,均,2
115,國,2
116,陽,2
117,媒,2
118,綺,2
119,白,2
120,心,2
121,弄,2
122,開,2
123,冉,2
124,戶,2
125,宿,2
126,映,2
127,樓,2
128,成,2
129,作,2
130,夢,2
131,烏,2
132,四,2
133,北,2
134,舍,2
135,弟,2
136,佶,2
137,每,2
138,色,2
139,向,2
140,書,2
141,思,2
142,芳,2
143,高,2
144,雨,2
145,地,2
146,綠,2
147,間,2
148,汶,2
149,宰,2
150,海,2
151,滿,2
152,市,2
153,城,2
154,酒,2
155,關,2
156,在,2
157,應,2
158,數,2
159,滯,2
160,明,2
161,多,2
162,接,2
163,雙,2
164,雁,2
165,芙,2
166,蓉,2
167,物,2
168,天,2
169,河,2
170,從,2
171,殿,2
172,珠,2
173,宴,2
174,田,2
175,近,2
176,自,2
177,誰,2
178,韋,2
179,簡,2
180,盡,2
181,官,2
182,遲,2
183,侵,2
184,煙,2
185,裴,2
186,端,2
187,唯,2
188,簷,2
189,移,2
190,知,2
191,個,2
192,諸,2
193,見,2
194,莫,2
195,久,2
196,楊,2
197,金,2
198,安,2
199,望,2
200,古,1
201,半,1
202,薜,1
203,蘿,1
204,府,1
205,僚,1
206,靜,1
207,偏,1
208,睥,1
209,睨,1
210,欄,1
211,枕,1
212,芰,1
213,荷,1
214,麥,1
215,秋,1
216,至,1
217,兩,1
218,岐,1
219,梡,1
220,門,1
221,種,1
222,則,1
223,殊,1
224,寫,1
225,字,1
226,佛,1
227,濾,1
228,水,1
229,澆,1
230,燃,1
231,燈,1
232,暖,1
233,榮,1
234,意,1
235,只,1
236,勸,1
237,佳,1
238,洛,1
239,才,1
240,雪,1
241,羅,1
242,幌,1
243,清,1
244,篁,1
245,依,1
246,牖,1
247,臺,1
248,縱,1
249,令,1
250,奔,1
251,仙,1
252,且,1
253,片,1
254,孤,1
255,帆,1
256,湖,1
257,濱,1
258,儘,1
259,客,1
260,苔,1
261,蘚,1
262,如,1
263,簿,1
264,幽,1
265,纏,1
266,樹,1
267,情,1
268,痕,1
269,連,1
270,林,1
271,斑,1
272,卻,1
273,笑,1
274,興,1
275,危,1
276,滑,1
277,石,1
278,乘,1
279,流,1
280,竟,1
281,魚,1
282,喧,1
283,止,1
284,非,1
285,病,1
286,援,1
287,緣,1
288,斗,1
289,米,1
290,淵,1
291,士,1
292,二,1
293,貞,1
294,台,1
295,柏,1
296,省,1
297,蘭,1
298,曹,1
299,闊,1
300,晨,1
301,趨,1
302,武,1
303,序,1
304,鴛,1
305,鸞,1
306,理,1
307,致,1
308,升,1
309,萬,1
310,呈,1
311,祥,1
312,助,1
313,聖,1
314,前,1
315,廣,1
316,蔭,1
317,落,1
318,湛,1
319,露,1
320,傾,1
321,對,1
322,張,1
323,工,1
324,奏,1
325,採,1
326,蓮,1
327,川,1
328,原,1
329,薄,1
330,黍,1
331,期,1
332,臘,1
333,寒,1
334,衣,1
335,井,1
336,漁,1
337,樵,1
338,始,1
339,歸,1
340,騎,1
341,問,1
342,恐,1
343,畏,1
344,狎,1
345,鷗,1
346,飛,1
347,事,1
348,手,1
349,持,1
350,夏,1
351,青,1
352,報,1
353,愁,1
354,猿,1
355,屢,1
356,絕,1
357,域,1
358,方,1
359,休,1
360,浣,1
361,野,1
362,老,1
363,娛,1
364,年,1
365,幾,1
366,折,1
367,驚,1
368,蝶,1
369,待,1
370,蠶,1
371,眠,1
372,藤,1
373,宛,1
374,縈,1
375,履,1
376,泉,1
377,迸,1
378,階,1
379,浸,1
380,錢,1
381,直,1
382,閉,1
383,謁,1
384,鶯,1
385,散,1
386,含,1
387,細,1
388,霖,1
389,簾,1
390,但,1
391,覺,1
392,陰,1
393,砌,1
394,濕,1
395,遣,1
396,深,1
397,度,1
398,隙,1
399,沾,1
400,潤,1
401,屨,1
402,溜,1
403,娶,1
404,妻,1
405,複,1
406,男,1
407,所,1
408,談,1
409,荀,1
410,氏,1
411,八,1
412,龍,1
413,欠,1
414,桓,1
415,鳳,1
416,已,1
417,三,1
418,他,1
419,蠱,1
420,著,1
421,弧,1
422,酣,1
423,道,1
424,賢,1
425,能,1
426,繼,1
427,體,1
428,於,1
429,藍,1
430,尋,1
431,聞,1
432,說,1
433,揚,1
434,簫,1
435,憶,1
436,舊,1
437,遊,1
438,迷,1
439,西,1
440,掖,1
441,馳,1
442,東,1
443,守,1
444,女,1
445,隱,1
446,侯,1
447,詩,1
448,恨,1
449,溪,1
450,急,1
451,舟,1
452,嶼,1
453,剩,1
454,何,1
455,幸,1
456,十,1
457,載,1
458,遺,1
459,論,1
460,腰,1
461,組,1
462,請,1
463,取,1
464,鬢,1
465,邊,1
466,絲,1
467,願,1
468,以,1
469,錘,1
470,贈,1
471,離,1
472,鉤,1
473,吐,1
474,衡,1
475,舉,1
476,星,1
477,隨,1
478,掌,1
479,握,1
480,執,1
481,錙,1
482,銖,1
483,必,1
484,由,1
485,投,1
486,審,1
487,放,1
488,權,1
489,遞,1
490,擁,1
491,帝,1
492,京,1
493,參,1
494,差,1
495,宮,1
496,漏,1
497,帶,1
498,晴,1
499,禁,1
500,淨,1
501,笙,1
502,路,1
503,發,1
504,車,1
505,隔,1
506,塵,1
507,閨,1
508,籍,1
509,姓,1
