排名,詞彙,出現次數
1,恥共金,1
2,共金英,1
3,金英一,1
4,英一例,1
5,一例開,1
6,例開素,1
7,開素芳,1
8,素芳須,1
9,芳須待,1
10,須待早,1
11,待早霜,1
12,早霜催,1
13,霜催繞,1
14,催繞籬,1
15,繞籬看,1
16,籬看見,1
17,看見成,1
18,見成瑤,1
19,成瑤圃,1
20,瑤圃泛,1
21,圃泛酒,1
22,泛酒須,1
23,酒須迷,1
24,須迷傍,1
25,迷傍玉,1
26,傍玉杯,1
27,玉杯映,1
28,杯映水,1
29,映水好,1
30,水好將,1
31,好將蘋,1
32,將蘋作,1
33,蘋作伴,1
34,作伴犯,1
35,伴犯寒,1
36,犯寒疑,1
37,寒疑與,1
38,疑與雪,1
39,與雪為,1
40,雪為媒,1
41,為媒夫,1
42,媒夫君,1
43,夫君每,1
44,君每尚,1
45,每尚風,1
46,尚風流,1
47,風流事,1
48,流事應,1
49,事應為,1
50,應為徐,1
51,為徐妃,1
52,徐妃致,1
53,妃致此,1
54,致此栽,1
55,此栽此,1
56,栽此去,1
57,此去歡,1
58,去歡榮,1
59,歡榮冠,1
60,榮冠士,1
61,冠士林,1
62,士林離,1
63,林離筵,1
64,離筵休,1
65,筵休恨,1
66,休恨酒,1
67,恨酒杯,1
68,酒杯深,1
69,杯深雲,1
70,深雲梯,1
71,雲梯萬,1
72,梯萬仞,1
73,萬仞初,1
74,仞初高,1
75,初高步,1
76,高步月,1
77,步月桂,1
78,月桂餘,1
79,桂餘香,1
80,餘香尚,1
81,香尚滿,1
82,尚滿襟,1
83,滿襟鳴,1
84,襟鳴棹,1
85,鳴棹曉,1
86,棹曉沖,1
87,曉沖蒼,1
88,沖蒼靄,1
89,蒼靄發,1
90,靄發落,1
91,發落帆,1
92,落帆寒,1
93,帆寒動,1
94,寒動白,1
95,動白華,1
96,白華吟,1
97,華吟君,1
98,吟君家,1
99,君家祖,1
100,家祖德,1
101,祖德惟,1
102,德惟清,1
103,惟清苦,1
104,清苦卻,1
105,苦卻笑,1
106,卻笑當,1
107,笑當時,1
108,當時問,1
109,時問絹,1
110,問絹心,1
