排名,詞彙,出現次數
1,休官罷任已閒居,1
2,官罷任已閒居林,1
3,罷任已閒居林苑,1
4,任已閒居林苑園,1
5,已閒居林苑園亭,1
6,閒居林苑園亭興,1
7,居林苑園亭興有,1
8,林苑園亭興有餘,1
9,苑園亭興有餘對,1
10,園亭興有餘對酒,1
11,亭興有餘對酒最,1
12,興有餘對酒最宜,1
13,有餘對酒最宜花,1
14,餘對酒最宜花藻,1
15,對酒最宜花藻發,1
16,酒最宜花藻發邀,1
17,最宜花藻發邀歡,1
18,宜花藻發邀歡不,1
19,花藻發邀歡不厭,1
20,藻發邀歡不厭柳,1
21,發邀歡不厭柳條,1
22,邀歡不厭柳條初,1
23,歡不厭柳條初低,1
24,不厭柳條初低腰,1
25,厭柳條初低腰醉,1
26,柳條初低腰醉舞,1
27,條初低腰醉舞垂,1
28,初低腰醉舞垂緋,1
29,低腰醉舞垂緋袖,1
30,腰醉舞垂緋袖擊,1
31,醉舞垂緋袖擊築,1
32,舞垂緋袖擊築謳,1
33,垂緋袖擊築謳歌,1
34,緋袖擊築謳歌任,1
35,袖擊築謳歌任褐,1
36,擊築謳歌任褐裾,1
37,築謳歌任褐裾寧,1
38,謳歌任褐裾寧用,1
39,歌任褐裾寧用管,1
40,任褐裾寧用管弦,1
41,褐裾寧用管弦來,1
42,裾寧用管弦來合,1
43,寧用管弦來合雜,1
44,用管弦來合雜自,1
45,管弦來合雜自親,1
46,弦來合雜自親松,1
47,來合雜自親松竹,1
48,合雜自親松竹且,1
49,雜自親松竹且清,1
50,自親松竹且清虛,1
51,親松竹且清虛飛,1
52,松竹且清虛飛觥,1
53,竹且清虛飛觥酒,1
54,且清虛飛觥酒到,1
55,清虛飛觥酒到須,1
56,虛飛觥酒到須先,1
57,飛觥酒到須先酌,1
58,觥酒到須先酌賦,1
59,酒到須先酌賦詠,1
60,到須先酌賦詠成,1
61,須先酌賦詠成詩,1
62,先酌賦詠成詩不,1
63,酌賦詠成詩不住,1
64,賦詠成詩不住書,1
65,詠成詩不住書借,1
66,成詩不住書借問,1
67,詩不住書借問商,1
68,不住書借問商山,1
69,住書借問商山賢,1
70,書借問商山賢四,1
71,借問商山賢四皓,1
72,問商山賢四皓不,1
73,商山賢四皓不知,1
74,山賢四皓不知此,1
75,賢四皓不知此後,1
76,四皓不知此後更,1
77,皓不知此後更何,1
78,不知此後更何如,1
