排名,詞彙,出現次數
1,曆象璿,1
2,象璿璣,1
3,璿璣正,1
4,璣正休,1
5,正休征,1
6,休征玉,1
7,征玉燭,1
8,玉燭明,1
9,燭明四,1
10,明四時,1
11,四時佳,1
12,時佳氣,1
13,佳氣滿,1
14,氣滿五,1
15,滿五緯,1
16,五緯太,1
17,緯太階,1
18,太階平,1
19,階平律,1
20,平律呂,1
21,律呂風,1
22,呂風光,1
23,風光至,1
24,光至煙,1
25,至煙雲,1
26,煙雲瑞,1
27,雲瑞色,1
28,瑞色呈,1
29,色呈年,1
30,呈年和,1
31,年和知,1
32,和知歲,1
33,知歲稔,1
34,歲稔道,1
35,稔道泰,1
36,道泰喜,1
37,泰喜秋,1
38,喜秋成,1
39,秋成寰,1
40,成寰海,1
41,寰海皇,1
42,海皇恩,1
43,皇恩被,1
44,恩被乾,1
45,被乾坤,1
46,乾坤至,1
47,坤至化,1
48,至化清,1
49,化清自,1
50,清自憐,1
51,自憐同,1
52,憐同野,1
53,同野老,1
54,野老帝,1
55,老帝力,1
56,帝力詎,1
57,力詎能,1
58,詎能名,1
