排名,詞彙,出現次數
1,夜不收,2
2,即為鄰,2
3,無處不,2
4,春似海,2
5,無情最,2
6,情最恨,2
7,最恨東,2
8,嘶斷落,2
9,斷落花,2
10,落花風,2
11,上遙天,2
12,倚闌幹,2
13,白髮三,2
14,髮三千,2
15,三千丈,2
16,悵望不,2
17,春風吹,2
18,落日下,2
19,起白雲,2
20,知虛實,2
21,新豐樹,2
22,合傷神,2
23,羈人此,2
24,人此夕,2
25,清景為,2
26,臨曉日,2
27,夜久燭,1
28,久燭花,1
29,燭花落,1
30,花落淒,1
31,落淒聲,1
32,淒聲生,1
33,聲生遠,1
34,生遠林,1
35,遠林有,1
36,林有懷,1
37,有懷嫌,1
38,懷嫌會,1
39,嫌會淺,1
40,會淺無,1
41,淺無事,1
42,無事又,1
43,事又秋,1
44,又秋深,1
45,秋深黃,1
46,深黃葉,1
47,黃葉歸,1
48,葉歸田,1
49,歸田夢,1
50,田夢白,1
51,夢白頭,1
52,白頭行,1
53,頭行路,1
54,行路吟,1
55,路吟山,1
56,吟山中,1
57,山中亦,1
58,中亦可,1
59,亦可樂,1
60,可樂不,1
61,樂不似,1
62,不似此,1
63,似此同,1
64,此同襟,1
65,同襟東,1
66,襟東海,1
67,東海窮,1
68,海窮詩,1
69,窮詩客,1
70,詩客西,1
71,客西風,1
72,西風古,1
73,風古驛,1
74,古驛亭,1
75,驛亭發,1
76,亭發從,1
77,發從殘,1
78,從殘歲,1
79,殘歲白,1
80,歲白山,1
81,白山入,1
82,山入故,1
83,入故鄉,1
84,故鄉青,1
85,鄉青世,1
86,青世事,1
87,世事徒,1
88,事徒三,1
89,徒三窟,1
90,三窟兒,1
91,窟兒曹,1
92,兒曹且,1
93,曹且一,1
94,且一經,1
95,一經丁,1
96,經丁寧,1
97,丁寧速,1
98,寧速賒,1
99,速賒酒,1
100,賒酒煮,1
101,酒煮栗,1
102,煮栗試,1
103,栗試砂,1
104,試砂瓶,1
105,砂瓶索,1
106,瓶索索,1
107,索索風,1
108,索風搜,1
109,風搜客,1
110,搜客沉,1
111,客沉沉,1
112,沉沉雨,1
113,沉雨洗,1
114,雨洗年,1
115,洗年殘,1
116,年殘林,1
117,殘林生,1
118,林生獵,1
119,生獵跡,1
120,獵跡歸,1
121,跡歸鳥,1
122,歸鳥避,1
123,鳥避窯,1
124,避窯煙,1
125,窯煙節,1
126,煙節物,1
127,節物杯,1
128,物杯漿,1
129,杯漿外,1
130,漿外溪,1
131,外溪山,1
132,溪山鬢,1
133,山鬢影,1
134,鬢影前,1
135,影前行,1
136,前行藏,1
137,行藏都,1
138,藏都未,1
139,都未定,1
140,未定筆,1
141,定筆硯,1
142,筆硯或,1
143,硯或能,1
144,或能捐,1
145,能捐陰,1
146,捐陰盛,1
147,陰盛此,1
148,盛此宵,1
149,此宵中,1
150,宵中多,1
151,中多為,1
152,多為雨,1
153,為雨與,1
