排名,詞彙,出現次數
1,沙場三,1
2,場三萬,1
3,三萬里,1
4,萬里猛,1
5,里猛將,1
6,猛將五,1
7,將五千,1
8,五千兵,1
9,千兵旌,1
10,兵旌斷,1
11,旌斷冰,1
12,斷冰溪,1
13,冰溪戍,1
14,溪戍笳,1
15,戍笳吹,1
16,笳吹鐵,1
17,吹鐵關,1
18,鐵關城,1
19,關城陰,1
20,城陰雲,1
21,陰雲暮,1
22,雲暮下,1
23,暮下雪,1
24,下雪寒,1
25,雪寒日,1
26,寒日晝,1
27,日晝無,1
28,晝無晶,1
29,無晶直,1
30,晶直為,1
31,直為懷,1
32,為懷恩,1
33,懷恩苦,1
34,恩苦誰,1
35,苦誰知,1
36,誰知邊,1
37,知邊塞,1
38,邊塞情,1
39,塞情秋,1
40,情秋入,1
41,秋入長,1
42,入長門,1
43,長門殿,1
44,門殿木,1
45,殿木落,1
46,木落洞,1
47,落洞房,1
48,洞房虛,1
49,房虛妾,1
50,虛妾思,1
51,妾思宵,1
52,思宵徒,1
53,宵徒靜,1
54,徒靜君,1
55,靜君恩,1
56,君恩日,1
57,恩日更,1
58,日更疏,1
59,更疏墜,1
60,疏墜露,1
61,墜露清,1
62,露清金,1
63,清金閣,1
64,金閣流,1
65,閣流螢,1
66,流螢點,1
67,螢點玉,1
68,點玉除,1
69,玉除還,1
70,除還將,1
71,還將閨,1
72,將閨裏,1
73,閨裏恨,1
74,裏恨遙,1
75,恨遙問,1
76,遙問馬,1
77,問馬相,1
78,馬相如,1
79,相如巫,1
80,如巫峽,1
81,巫峽裴,1
82,峽裴回,1
83,裴回雨,1
84,回雨陽,1
85,雨陽臺,1
86,陽臺淡,1
87,臺淡蕩,1
88,淡蕩雲,1
89,蕩雲江,1
90,雲江山,1
91,江山空,1
92,山空窈,1
93,空窈窕,1
94,窈窕朝,1
95,窕朝暮,1
96,朝暮自,1
97,暮自紛,1
98,自紛氳,1
99,紛氳螢,1
100,氳螢色,1
101,螢色寒,1
102,色寒秋,1
103,寒秋露,1
104,秋露猿,1
105,露猿啼,1
106,猿啼清,1
107,啼清夜,1
108,清夜聞,1
109,夜聞誰,1
110,聞誰憐,1
111,誰憐夢,1
112,憐夢魂,1
113,夢魂遠,1
114,魂遠腸,1
115,遠腸斷,1
116,腸斷思,1
117,斷思紛,1
118,思紛紛,1
