排名,詞彙,出現次數
1,春水悠,1
2,水悠悠,1
3,悠悠春,1
4,悠春草,1
5,春草綠,1
6,草綠對,1
7,綠對此,1
8,對此思,1
9,此思君,1
10,思君淚,1
11,君淚相,1
12,淚相續,1
13,相續羞,1
14,續羞將,1
15,羞將離,1
16,將離恨,1
17,離恨向,1
18,恨向東,1
19,向東風,1
20,東風理,1
21,風理盡,1
22,理盡秦,1
23,盡秦箏,1
24,秦箏不,1
25,箏不成,1
26,不成曲,1
27,成曲與,1
28,曲與君,1
29,與君形,1
30,君形影,1
31,形影分,1
32,影分胡,1
33,分胡越,1
34,胡越玉,1
35,越玉枕,1
36,玉枕終,1
37,枕終年,1
38,終年對,1
39,年對離,1
40,對離別,1
41,離別登,1
42,別登臺,1
43,登臺北,1
44,臺北望,1
45,北望煙,1
46,望煙雨,1
47,煙雨深,1
48,雨深回,1
49,深回身,1
50,回身泣,1
51,身泣向,1
52,泣向寥,1
53,向寥天,1
54,寥天月,1
