排名,詞彙,出現次數
1,州獻,10
2,何處,8
3,書情,5
4,情獻,5
5,獻知,5
6,千里,4
7,僧歸,4
8,友人,4
9,野寺,4
10,寺寓,4
11,寓居,4
12,將歸,4
13,歸蜀,4
14,蜀留,4
15,隨州,4
16,獻李,4
17,虢州,4
18,獻楊,4
19,不鳴,4
20,人出,3
21,南山,3
22,白雲,3
23,煙霞,3
24,舊隱,3
25,送僧,3
26,歸新,3
27,奉和,3
28,和秘,3
29,秘監,3
30,風不,3
31,鳴條,3
32,塞外,2
33,外寄,2
34,寄張,2
35,日日,2
36,曉發,2
37,題終,2
38,終南,2
39,更何,2
40,何有,2
41,嘉川,2
42,川驛,2
43,驛樓,2
44,江上,2
45,翠微,2
46,飛誰,2
47,誰言,2
48,送人,2
49,人歸,2
50,歸吳,2
51,島上,2
52,月中,2
53,到此,2
54,送石,2
55,石貫,2
56,貫歸,2
57,送劉,2
58,劉耕,2
59,耕歸,2
60,舊國,2
61,寄贈,2
62,贈許,2
63,許璋,2
64,庭唯,2
65,樹石,2
66,寄雍,2
67,雍陶,2
68,陶先,2
69,悵望,2
70,寄友,2
71,明時,2
72,感懷,2
73,懷陳,2
74,陳情,2
75,恩重,2
76,風塵,2
77,升沉,2
78,下應,2
79,送程,2
80,程秀,2
81,秀才,2
82,此去,2
83,旱魚,2
84,魚詞,2
85,詞上,2
86,山色,2
87,初日,2
88,半簷,2
89,襄州,2
90,獻盧,2
91,造化,2
92,古今,2
93,焦桐,2
94,空懷,2
95,回首,2
96,隱空,2
97,誰肯,2
98,無門,2
99,轉蓬,2
100,德望,2
101,霄漢,2
102,路岐,2
103,望一,2
104,苦節,2
105,叫雲,2
106,在鳳,2
107,惜分,2
108,處問,2
109,贈邊,2
110,邊將,2
111,雨露,2
112,無因,2
113,送費,2
114,費煉,2
115,煉師,2
116,和徐,2
117,徐先,2
118,先輩,2
119,桂枝,2
120,送黃,2
121,黃頗,2
122,頗歸,2
123,和陝,2
124,陝州,2
125,州參,2
126,玉真,2
127,真觀,2
128,觀尋,2
129,落暉,2
130,及第,2
131,第後,2
132,後上,2
133,送賀,2
134,賀知,2
135,知章,2
136,飛送,2
137,送友,2
138,大鵬,2
139,鵬飛,2
140,和工,2
141,工部,2
142,部楊,2
143,張千,1
144,里入,1
145,入黃,1
146,黃雲,1
147,雲羈,1
148,羈愁,1
149,愁日,1
150,日新,1
151,新疏,1
152,疏鐘,1
153,鐘關,1
154,關路,1
155,路曉,1
156,曉遠,1
157,遠雨,1
158,雨寒,1
159,寒山,1
160,山春,1
161,春塞,1
162,張南,1
163,南眺,1
164,眺有,1
165,有歸,1
166,歸雁,1
167,雁北,1
168,北來,1
169,來無,1
170,無故,1
171,故人,1
172,人卻,1
173,卻思,1
174,思陪,1
175,陪宴,1
176,宴處,1
177,處回,1
178,回望,1
179,望與,1
180,與天,1
181,天鄰,1
182,鄰曉,1
183,發旅,1
184,旅行,1
185,行宜,1
186,宜早,1
187,早發,1
188,發況,1
189,況複,1
190,複是,1
191,是南,1
192,南歸,1
193,歸月,1
194,月影,1
195,影緣,1
196,緣山,1
197,山盡,1
198,盡鐘,1
199,鐘聲,1
200,聲隔,1
201,隔浦,1
202,浦微,1
203,微曉,1
204,發殘,1
205,殘星,1
206,星螢,1
207,螢共,1
208,共失,1
209,失落,1
210,落葉,1
211,葉鳥,1
212,鳥和,1
213,和飛,1
214,飛去,1
215,去去,1
216,去渡,1
217,渡南,1
218,南浦,1
219,浦村,1
220,村中,1
221,中人,1
222,出稀,1
223,稀題,1
224,山開,1
225,開門,1
226,門絕,1
227,絕壑,1
228,壑旁,1
229,旁躡,1
230,躡蘚,1
231,蘚過,1
232,過花,1
233,花梁,1
234,梁路,1
235,路入,1
236,入峰,1
237,峰巒,1
238,巒影,1
239,影風,1
240,風來,1
241,來芝,1
242,芝朮,1
243,朮香,1
244,香題,1
245,山夜,1
246,夜吟,1
247,吟明,1
248,明雪,1
249,雪牖,1
250,牖春,1
251,春夢,1
252,夢閉,1
253,閉雲,1
254,雲房,1
255,房盡,1
256,盡室,1
257,室更,1
258,有一,1
259,一琴,1
260,琴兼,1
261,兼一,1
262,一觴,1
263,觴嘉,1
264,樓樓,1
265,樓壓,1
266,壓寒,1
267,寒江,1
268,上開,1
269,開簾,1
270,簾對,1
271,對翠,1
272,微斜,1
273,斜陽,1
274,陽諸,1
275,諸嶺,1
276,嶺暮,1
277,暮古,1
278,古渡,1
279,渡一,1
280,一僧,1
281,歸嘉,1
282,樓窗,1
283,窗迥,1
284,迥雲,1
285,雲沖,1
286,沖起,1
287,起汀,1
288,汀遙,1
289,遙鳥,1
290,鳥背,1
291,背飛,1
292,言坐,1
293,坐多,1
294,多倦,1
295,倦目,1
296,目極,1
297,極自,1
298,自忘,1
299,忘機,1
300,機送,1
301,吳東,1
302,東吳,1
303,吳與,1
304,與上,1
305,上國,1
306,國萬,1
307,萬里,1
308,里路,1
309,路迢,1
310,迢迢,1
311,迢為,1
312,為別,1
313,別晨,1
314,晨昏,1
315,昏久,1
316,久全,1
317,全輕,1
318,輕水,1
319,水陸,1
320,陸遙,1
321,遙送,1
322,吳湘,1
323,湘陰,1
324,陰島,1
325,上寺,1
326,寺楚,1
327,楚色,1
328,色月,1
329,中潮,1
330,潮到,1
331,此一,1
332,一長,1
333,長望,1
334,望知,1
335,知君,1
336,君積,1
337,積恨,1
338,恨銷,1
339,銷送,1
340,歸同,1
341,同志,1
342,志幸,1
343,幸同,1
344,同年,1
345,年高,1
346,高堂,1
347,堂君,1
348,君獨,1
349,獨還,1
350,還齊,1
351,齊榮,1
352,榮恩,1
353,恩未,1
354,未報,1
355,報共,1
356,共隱,1
357,隱事,1
358,事應,1
359,應閑,1
360,閑送,1
361,歸訪,1
362,訪寺,1
363,寺臨,1
364,臨湖,1
365,湖岸,1
366,岸開,1
367,開樓,1
368,樓見,1
369,見海,1
370,海山,1
371,山洛,1
372,洛中,1
373,中推,1
374,推二,1
375,二陸,1
376,陸莫,1
377,莫久,1
378,久戀,1
379,戀鄉,1
380,鄉關,1
381,關送,1
382,歸四,1
383,四座,1
384,座莫,1
385,莫紛,1
386,紛紛,1
387,紛須,1
388,須臾,1
389,臾岐,1
390,岐路,1
391,路分,1
392,分自,1
393,自從,1
394,從同,1
395,同得,1
396,得意,1
397,意誰,1
398,誰不,1
399,不惜,1
400,惜離,1
401,離群,1
402,群送,1
403,歸舊,1
404,國連,1
405,連青,1
406,青海,1
407,海歸,1
408,歸程,1
409,程在,1
410,在白,1
411,雲棄,1
412,棄繻,1
413,繻當,1
414,當日,1
415,日路,1
416,路應,1
417,應競,1
418,競看,1
419,看終,1
420,終軍,1
421,軍寄,1
422,璋若,1
423,若說,1
424,說君,1
425,君高,1
426,高道,1
427,道何,1
428,何人,1
429,人更,1
430,更得,1
431,得如,1
432,如公,1
433,公庭,1
434,唯樹,1
435,石生,1
436,生計,1
437,計是,1
438,是琴,1
439,琴書,1
440,書寄,1
441,璋詩,1
442,詩句,1
443,句峭,1
444,峭無,1
445,無敵,1
446,敵文,1
447,文才,1
448,才清,1
449,清有,1
450,有餘,1
451,餘不,1
452,不知,1
453,知尺,1
454,尺水,1
455,水內,1
456,內爭,1
457,爭滯,1
458,滯北,1
459,北溟,1
460,溟魚,1
461,魚寄,1
462,先知,1
463,知音,1
464,音杳,1
465,杳何,1
466,處書,1
467,書劄,1
468,劄寄,1
469,寄無,1
470,無由,1
471,由獨,1
472,獨宿,1
473,宿月,1
474,中寺,1
475,寺相,1
476,相思,1
477,思天,1
478,天畔,1
479,畔樓,1
480,樓寄,1
481,先露,1
482,露凝,1
483,凝衰,1
484,衰草,1
485,草白,1
486,白螢,1
487,螢度,1
488,度遠,1
489,遠煙,1
490,煙秋,1
491,秋悵,1
492,望難,1
493,難歸,1
494,歸枕,1
495,枕吟,1
496,吟勞,1
497,勞生,1
498,生夜,1
499,夜愁,1
500,愁寄,1
501,人西,1
502,西風,1
503,風又,1
504,又開,1
505,開菊,1
506,菊久,1
507,久客,1
508,客意,1
509,意如,1
510,如何,1
511,何舊,1
512,國天,1
513,天涯,1
514,涯遠,1
515,遠清,1
516,清砧,1
517,砧月,1
518,月夜,1
519,夜多,1
520,多寄,1
521,人明,1
522,時難,1
523,難際,1
524,際會,1
525,會急,1
526,急景,1
527,景易,1
528,易蹉,1
529,蹉跎,1
530,跎抱,1
531,抱玉,1
532,玉終,1
533,終須,1
534,須獻,1
535,獻誰,1
536,言戀,1
537,戀薜,1
538,薜蘿,1
539,蘿感,1
540,情恩,1
541,重空,1
542,空感,1
543,感激,1
544,激何,1
545,何門,1
546,門誓,1
547,誓殺,1
548,殺身,1
549,身謬,1
550,謬曾,1
551,曾分,1
552,分玉,1
553,玉石,1
554,石竟,1
555,竟自,1
556,自困,1
557,困風,1
558,塵感,1
559,情陰,1
560,陰穀,1
561,穀非,1
562,非因,1
563,因暖,1
564,暖幽,1
565,幽叢,1
566,叢豈,1
567,豈望,1
568,望春,1
569,春升,1
570,沉在,1
571,在言,1
572,言下,1
573,應念,1
574,念異,1
575,異他,1
576,他人,1
577,人送,1
578,才鶯,1
579,鶯遷,1
580,遷與,1
581,與鶂,1
582,鶂退,1
583,退十,1
584,十載,1
585,載泣,1
586,泣岐,1
587,岐分,1
588,分蜀,1
589,蜀道,1
590,道重,1
591,重來,1
592,來老,1
593,老巴,1
594,巴猿,1
595,猿此,1
596,去聞,1
597,聞送,1
598,才曉,1
599,曉程,1
600,程侵,1
601,侵嶺,1
602,嶺雪,1
603,雪遠,1
604,遠棧,1
605,棧入,1
606,入溪,1
607,溪雲,1
608,雲莫,1
609,莫滯,1
610,滯趨,1
611,趨庭,1
612,庭戀,1
613,戀榮,1
614,榮親,1
615,親只,1
616,只待,1
617,待君,1
618,君旱,1
619,上似,1
620,似龍,1
621,龍鱗,1
622,鱗已,1
623,已足,1
624,足唯,1
625,唯是,1
626,是欠,1
627,欠登,1
628,登門,1
629,門日,1
630,日裏,1
631,裏腮,1
632,腮猶,1
633,猶濕,1
634,濕泥,1
635,泥中,1
636,中目,1
637,目未,1
638,未昏,1
639,昏旱,1
640,上乞,1
641,乞鋤,1
642,鋤防,1
643,防蟻,1
644,蟻穴,1
645,穴望,1
646,望水,1
647,水瀉,1
648,瀉金,1
649,金盆,1
650,盆他,1
651,他日,1
652,日能,1
653,能為,1
654,為雨,1
655,雨公,1
656,公田,1
657,田報,1
658,報此,1
659,此恩,1
660,恩野,1
661,居南,1
662,色當,1
663,當戶,1
664,戶初,1
665,日半,1
666,簷時,1
667,時鶴,1
668,鶴去,1
669,去臥,1
670,臥看,1
671,看遠,1
672,遠僧,1
673,僧來,1
674,來嫌,1
675,嫌起,1
676,起遲,1
677,遲野,1
678,居窗,1
679,窗明,1
680,明雲,1
681,雲影,1
682,影斷,1
683,斷庭,1
684,庭曉,1
685,曉樹,1
686,樹陰,1
687,陰移,1
688,移何,1
689,處題,1
690,題新,1
691,新句,1
692,句連,1
693,連溪,1
694,溪密,1
695,密葉,1
696,葉垂,1
697,垂野,1
698,居古,1
699,古寺,1
700,寺更,1
701,有當,1
702,當庭,1
703,唯折,1
704,折幢,1
705,幢伴,1
706,伴僧,1
707,僧青,1
708,青蘚,1
709,蘚榻,1
710,榻對,1
711,對雨,1
712,雨白,1
713,雲窗,1
714,窗野,1
715,居暝,1
716,暝色,1
717,色生,1
718,生前,1
719,前嶺,1
720,嶺離,1
721,離魂,1
722,魂隔,1
723,隔遠,1
724,遠江,1
725,江沙,1
726,沙洲,1
727,洲半,1
728,半藜,1
729,藜草,1
730,草飛,1
731,飛鷺,1
732,鷺白,1
733,白雙,1
734,雙雙,1
735,雙襄,1
736,盧立,1
737,立事,1
738,事成,1
739,成功,1
740,功盡,1
741,盡遠,1
742,遠圖,1
743,圖一,1
744,一方,1
745,方獨,1
746,獨與,1
747,與萬,1
748,萬方,1
749,方殊,1
750,殊藩,1
751,藩臣,1
752,臣皆,1
753,皆競,1
754,競師,1
755,師兵,1
756,兵略,1
757,略相,1
758,相國,1
759,國今,1
760,今多,1
761,多揖,1
762,揖廟,1
763,廟謨,1
764,謨禮,1
765,禮樂,1
766,樂政,1
767,政行,1
768,行凋,1
769,凋弊,1
770,弊俗,1
771,俗歌,1
772,歌謠,1
773,謠聲,1
774,聲徹,1
775,徹帝,1
776,帝王,1
777,王都,1
778,都襄,1
779,盧即,1
780,即隨,1
781,隨鳳,1
782,鳳詔,1
783,詔歸,1
784,歸何,1
785,處只,1
786,只是,1
787,是操,1
788,操持,1
789,持造,1
790,化爐,1
791,爐將,1
792,留自,1
793,自持,1
794,持衡,1
795,衡鏡,1
796,鏡采,1
797,采幽,1
798,幽沈,1
799,沈此,1
800,此事,1
801,事常,1
802,常聞,1
803,聞曠,1
804,曠古,1
805,今危,1
806,危葉,1
807,葉只,1
808,只將,1
809,將終,1
810,終委,1
811,委地,1
812,地焦,1
813,桐誰,1
814,誰料,1
815,料卻,1
816,卻為,1
817,為琴,1
818,琴蒿,1
819,蒿萊,1
820,萊詎,1
821,詎報,1
822,報生,1
823,生成,1
824,成德,1
825,德犬,1
826,犬馬,1
827,馬空,1
828,懷感,1
829,感戀,1
830,戀心,1
831,心將,1
832,留明,1
833,明日,1
834,日還,1
835,還家,1
836,家盈,1
837,盈眼,1
838,眼血,1
839,血定,1
840,定應,1
841,應回,1
842,首即,1
843,即沾,1
844,沾襟,1
845,襟將,1
846,留江,1
847,上長,1
848,長思,1
849,思狎,1
850,狎釣,1
851,釣翁,1
852,翁此,1
853,此心,1
854,心難,1
855,難與,1
856,與昨,1
857,昨心,1
858,心同,1
859,同自,1
860,自承,1
861,承丘,1
862,丘壑,1
863,壑新,1
864,新恩,1
865,重已,1
866,已分,1
867,分煙,1
868,霞舊,1
869,空龍,1
870,龍變,1
871,變偶,1
872,偶因,1
873,因資,1
874,資巨,1
875,巨浪,1
876,浪鳥,1
877,鳥飛,1
878,肯借,1
879,借高,1
880,高風,1
881,風將,1
882,留應,1
883,應憐,1
884,憐死,1
885,死節,1
886,節無,1
887,門效,1
888,效永,1
889,永歎,1
890,歎潛,1
891,潛懷,1
892,懷似,1
893,似轉,1
894,蓬隨,1
895,李彩,1
896,彩筆,1
897,筆曾,1
898,曾專,1
899,專造,1
900,化權,1
901,權道,1
902,道尊,1
903,尊翻,1
904,翻向,1
905,向宦,1
906,宦途,1
907,途閑,1
908,閑端,1
909,端居,1
910,居有,1
911,有地,1
912,地唯,1
913,唯栽,1
914,栽藥,1
915,藥靜,1
916,靜坐,1
917,坐無,1
918,無時,1
919,時不,1
920,不憶,1
921,憶山,1
922,山德,1
923,望舊,1
924,舊懸,1
925,懸霄,1
926,漢外,1
927,外政,1
928,政聲,1
929,聲新,1
930,新溢,1
931,溢路,1
932,岐間,1
933,間隨,1
934,李眾,1
935,眾知,1
936,知聖,1
937,聖主,1
938,主搜,1
939,搜賢,1
940,賢相,1
941,相朝,1
942,朝夕,1
943,夕欲,1
944,欲征,1
945,征黃,1
946,黃霸,1
947,霸還,1
948,還隨,1
949,李再,1
950,再刖,1
951,刖未,1
952,未甘,1
953,甘何,1
954,處說,1
955,說但,1
956,但垂,1
957,垂雙,1
958,雙淚,1
959,淚出,1
960,出咸,1
961,咸秦,1
962,秦風,1
963,塵匹,1
964,匹馬,1
965,馬來,1
966,來千,1
967,里蓬,1
968,蓬梗,1
969,梗全,1
970,全家,1
971,家望,1
972,一身,1
973,身舊,1
974,隱每,1
975,每懷,1
976,懷空,1
977,空竟,1
978,竟夕,1
979,夕愁,1
980,愁眉,1
981,眉不,1
