排名,詞彙,出現次數
1,百禮崇容千官,1
2,禮崇容千官肅,1
3,崇容千官肅事,1
4,容千官肅事靈,1
5,千官肅事靈降,1
6,官肅事靈降無,1
7,肅事靈降無兆,1
8,事靈降無兆神,1
9,靈降無兆神凝,1
10,降無兆神凝有,1
11,無兆神凝有粹,1
12,兆神凝有粹奠,1
13,神凝有粹奠享,1
14,凝有粹奠享咸,1
15,有粹奠享咸周,1
16,粹奠享咸周威,1
17,奠享咸周威儀,1
18,享咸周威儀畢,1
19,咸周威儀畢備,1
20,周威儀畢備奏,1
21,威儀畢備奏夏,1
22,儀畢備奏夏登,1
23,畢備奏夏登列,1
24,備奏夏登列歌,1
25,奏夏登列歌雍,1
26,夏登列歌雍徹,1
27,登列歌雍徹肆,1
28,列歌雍徹肆龍,1
29,歌雍徹肆龍池,1
30,雍徹肆龍池初,1
31,徹肆龍池初出,1
32,肆龍池初出此,1
33,龍池初出此龍,1
34,池初出此龍山,1
35,初出此龍山常,1
36,出此龍山常經,1
37,此龍山常經此,1
38,龍山常經此地,1
39,山常經此地謁,1
40,常經此地謁龍,1
41,經此地謁龍顏,1
42,此地謁龍顏日,1
43,地謁龍顏日日,1
44,謁龍顏日日芙,1
45,龍顏日日芙蓉,1
46,顏日日芙蓉生,1
47,日日芙蓉生夏,1
48,日芙蓉生夏水,1
49,芙蓉生夏水年,1
50,蓉生夏水年年,1
51,生夏水年年楊,1
52,夏水年年楊柳,1
53,水年年楊柳變,1
54,年年楊柳變春,1
55,年楊柳變春灣,1
56,楊柳變春灣堯,1
57,柳變春灣堯壇,1
58,變春灣堯壇寶,1
59,春灣堯壇寶匣,1
60,灣堯壇寶匣餘,1
61,堯壇寶匣餘煙,1
62,壇寶匣餘煙霧,1
63,寶匣餘煙霧舜,1
64,匣餘煙霧舜海,1
65,餘煙霧舜海漁,1
66,煙霧舜海漁舟,1
67,霧舜海漁舟尚,1
68,舜海漁舟尚往,1
69,海漁舟尚往還,1
70,漁舟尚往還願,1
71,舟尚往還願似,1
72,尚往還願似飄,1
73,往還願似飄颻,1
74,還願似飄颻五,1
75,願似飄颻五雲,1
76,似飄颻五雲影,1
77,飄颻五雲影從,1
78,颻五雲影從來,1
79,五雲影從來從,1
80,雲影從來從去,1
81,影從來從去九,1
82,從來從去九天,1
83,來從去九天關,1
