排名,詞彙,出現次數
1,可惜春時節依,2
2,獨自遊無端兩,2
3,自遊無端兩行,2
4,遊無端兩行淚,2
5,無端兩行淚長,2
6,端兩行淚長只,2
7,兩行淚長只對,2
8,行淚長只對花,2
9,淚長只對花流,2
10,長只對花流誰,2
11,只對花流誰家,2
12,對花流誰家少,2
13,花流誰家少年,2
14,流誰家少年兒,2
15,誰家少年兒心,2
16,家少年兒心中,2
17,少年兒心中暗,2
18,年兒心中暗自,2
19,兒心中暗自欺,2
20,心中暗自欺不,2
21,中暗自欺不道,2
22,暗自欺不道終,2
23,自欺不道終不,2
24,欺不道終不可,2
25,不道終不可可,2
26,道終不可可即,2
27,終不可可即恐,2
28,不可可即恐郎,2
29,可可即恐郎知,2
30,惜春時節依前,1
31,春時節依前獨,1
32,時節依前獨自,1
33,節依前獨自遊,1
34,依前獨自遊無,1
35,前獨自遊無端,1
36,可即恐郎知可,1
37,即恐郎知可惜,1
38,恐郎知可惜春,1
39,郎知可惜春時,1
40,知可惜春時節,1
41,惜春時節依然,1
42,春時節依然獨,1
43,時節依然獨自,1
44,節依然獨自遊,1
45,依然獨自遊無,1
46,然獨自遊無端,1
