排名,詞彙,出現次數
1,先生雙鬢,1
2,生雙鬢華,1
3,雙鬢華深,1
4,鬢華深谷,1
5,華深谷臥,1
6,深谷臥雲,1
7,谷臥雲霞,1
8,臥雲霞不,1
9,雲霞不伐,1
10,霞不伐有,1
11,不伐有巢,1
12,伐有巢樹,1
13,有巢樹多,1
14,巢樹多移,1
15,樹多移無,1
16,多移無主,1
17,移無主花,1
18,無主花石,1
19,主花石泉,1
20,花石泉春,1
21,石泉春釀,1
22,泉春釀酒,1
23,春釀酒松,1
24,釀酒松火,1
25,酒松火夜,1
26,松火夜煎,1
27,火夜煎茶,1
28,夜煎茶因,1
29,煎茶因問,1
30,茶因問山,1
31,因問山中,1
32,問山中事,1
33,山中事如,1
34,中事如君,1
35,事如君有,1
36,如君有幾,1
37,君有幾家,1
38,有幾家春,1
39,幾家春至,1
40,家春至衡,1
41,春至衡陽,1
42,至衡陽雁,1
43,衡陽雁思,1
44,陽雁思歸,1
45,雁思歸塞,1
46,思歸塞路,1
47,歸塞路長,1
48,塞路長汀,1
49,路長汀洲,1
50,長汀洲齊,1
51,汀洲齊奮,1
52,洲齊奮翼,1
53,齊奮翼霄,1
54,奮翼霄漢,1
55,翼霄漢共,1
56,霄漢共成,1
57,漢共成行,1
58,共成行雪,1
59,成行雪盡,1
60,行雪盡翻,1
61,雪盡翻風,1
62,盡翻風暖,1
63,翻風暖寒,1
64,風暖寒收,1
65,暖寒收度,1
66,寒收度月,1
67,收度月涼,1
68,度月涼直,1
69,月涼直應,1
70,涼直應到,1
71,直應到秋,1
72,應到秋日,1
73,到秋日依,1
74,秋日依舊,1
75,日依舊返,1
76,依舊返瀟,1
77,舊返瀟湘,1
78,返瀟湘春,1
79,瀟湘春江,1
80,湘春江多,1
81,春江多去,1
82,江多去情,1
83,多去情相,1
84,去情相去,1
85,情相去枕,1
86,相去枕長,1
87,去枕長汀,1
88,枕長汀數,1
89,長汀數雁,1
90,汀數雁別,1
91,數雁別湓,1
92,雁別湓浦,1
93,別湓浦片,1
94,湓浦片帆,1
95,浦片帆離,1
96,片帆離洞,1
97,帆離洞庭,1
98,離洞庭雨,1
99,洞庭雨餘,1
100,庭雨餘沙,1
101,雨餘沙草,1
102,餘沙草綠,1
103,沙草綠雲,1
104,草綠雲散,1
105,綠雲散岸,1
106,雲散岸峰,1
107,散岸峰青,1
108,岸峰青誰,1
109,峰青誰共,1
110,青誰共觀,1
111,誰共觀明,1
112,共觀明月,1
113,觀明月漁,1
114,明月漁歌,1
115,月漁歌夜,1
116,漁歌夜好,1
117,歌夜好聽,1
118,夜好聽古,1
119,好聽古今,1
120,聽古今傳,1
121,古今傳此,1
122,今傳此嶺,1
123,傳此嶺高,1
124,此嶺高下,1
125,嶺高下勢,1
126,高下勢崢,1
127,下勢崢嶸,1
128,勢崢嶸安,1
129,崢嶸安得,1
130,嶸安得青,1
131,安得青山,1
132,得青山路,1
133,青山路化,1
134,山路化為,1
135,路化為平,1
136,化為平地,1
137,為平地行,1
138,平地行蒼,1
139,地行蒼苔,1
140,行蒼苔留,1
141,蒼苔留虎,1
142,苔留虎跡,1
143,留虎跡碧,1
144,虎跡碧樹,1
145,跡碧樹障,1
146,碧樹障溪,1
147,樹障溪聲,1
148,障溪聲欲,1
149,溪聲欲過,1
150,聲欲過一,1
151,欲過一回,1
152,過一回首,1
153,一回首踟,1
154,回首踟躕,1
155,首踟躕無,1
156,踟躕無限,1
157,躕無限情,1
158,無限情甌,1
159,限情甌閩,1
160,情甌閩在,1
161,甌閩在天,1
162,閩在天末,1
163,在天末此,1
164,天末此去,1
165,末此去整,1
166,此去整行,1
167,去整行衣,1
168,整行衣久,1
169,行衣久客,1
170,衣久客逢,1
171,久客逢春,1
172,客逢春盡,1
173,逢春盡思,1
174,春盡思家,1
175,盡思家冒,1
176,思家冒暑,1
177,家冒暑歸,1
178,冒暑歸海,1
179,暑歸海雲,1
180,歸海雲添,1
181,海雲添晚,1
182,雲添晚景,1
183,添晚景山,1
184,晚景山瘴,1
185,景山瘴滅,1
186,山瘴滅晴,1
187,瘴滅晴暉,1
188,滅晴暉相,1
189,晴暉相憶,1
190,暉相憶吟,1
191,相憶吟偏,1
192,憶吟偏苦,1
193,吟偏苦不,1
194,偏苦不堪,1
195,苦不堪書,1
196,不堪書信,1
197,堪書信稀,1
198,書信稀深,1
199,信稀深山,1
200,稀深山宜,1
201,深山宜避,1
202,山宜避暑,1
203,宜避暑門,1
204,避暑門戶,1
205,暑門戶映,1
206,門戶映嵐,1
207,戶映嵐光,1
208,映嵐光夏,1
209,嵐光夏木,1
210,光夏木蔭,1
211,夏木蔭溪,1
212,木蔭溪路,1
213,蔭溪路晝,1
214,溪路晝雲,1
215,路晝雲埋,1
216,晝雲埋石,1
217,雲埋石床,1
218,埋石床心,1
219,石床心源,1
220,床心源澄,1
221,心源澄道,1
222,源澄道靜,1
223,澄道靜衣,1
224,道靜衣葛,1
