排名,詞彙,出現次數
1,贈所思所,1
2,所思所居,1
3,思所居幸,1
4,所居幸接,1
5,居幸接鄰,1
6,幸接鄰相,1
7,接鄰相見,1
8,鄰相見不,1
9,相見不相,1
10,見不相親,1
11,不相親一,1
12,相親一似,1
13,親一似雲,1
14,一似雲間,1
15,似雲間月,1
16,雲間月何,1
17,間月何殊,1
18,月何殊鏡,1
19,何殊鏡裏,1
20,殊鏡裏人,1
21,鏡裏人贈,1
22,裏人贈所,1
23,人贈所思,1
24,贈所思丹,1
25,所思丹誠,1
26,思丹誠空,1
27,丹誠空有,1
28,誠空有夢,1
29,空有夢腸,1
30,有夢腸斷,1
31,夢腸斷不,1
32,腸斷不禁,1
33,斷不禁春,1
34,不禁春願,1
35,禁春願作,1
36,春願作梁,1
37,願作梁間,1
38,作梁間燕,1
39,梁間燕無,1
40,間燕無由,1
41,燕無由變,1
42,無由變此,1
43,由變此身,1
44,變此身戲,1
45,此身戲贈,1
46,身戲贈暫,1
47,戲贈暫到,1
48,贈暫到昆,1
49,暫到昆侖,1
50,到昆侖未,1
51,昆侖未得,1
52,侖未得歸,1
53,未得歸阮,1
54,得歸阮郎,1
55,歸阮郎何,1
56,阮郎何事,1
57,郎何事教,1
58,何事教人,1
59,事教人非,1
60,教人非戲,1
61,人非戲贈,1
62,非戲贈如,1
63,戲贈如今,1
64,贈如今身,1
65,如今身佩,1
66,今身佩上,1
67,身佩上清,1
68,佩上清籙,1
69,上清籙莫,1
70,清籙莫遣,1
71,籙莫遣落,1
72,莫遣落花,1
73,遣落花沾,1
74,落花沾羽,1
75,花沾羽衣,1
76,沾羽衣贈,1
77,羽衣贈歌,1
78,衣贈歌姬,1
79,贈歌姬水,1
80,歌姬水剪,1
81,姬水剪雙,1
82,水剪雙眸,1
83,剪雙眸霧,1
84,雙眸霧剪,1
85,眸霧剪衣,1
86,霧剪衣當,1
87,剪衣當筵,1
88,衣當筵一,1
89,當筵一曲,1
90,筵一曲媚,1
91,一曲媚春,1
92,曲媚春輝,1
93,媚春輝瀟,1
94,春輝瀟湘,1
95,輝瀟湘夜,1
96,瀟湘夜瑟,1
97,湘夜瑟怨,1
98,夜瑟怨猶,1
99,瑟怨猶在,1
100,怨猶在巫,1
101,猶在巫峽,1
102,在巫峽曉,1
103,巫峽曉雲,1
104,峽曉雲愁,1
105,曉雲愁不,1
106,雲愁不稀,1
107,愁不稀皓,1
108,不稀皓齒,1
109,稀皓齒乍,1
110,皓齒乍分,1
111,齒乍分寒,1
112,乍分寒玉,1
113,分寒玉細,1
114,寒玉細黛,1
115,玉細黛眉,1
116,細黛眉輕,1
117,黛眉輕蹙,1
118,眉輕蹙遠,1
119,輕蹙遠山,1
120,蹙遠山微,1
121,遠山微贈,1
122,山微贈歌,1
123,微贈歌姬,1
124,贈歌姬渭,1
125,歌姬渭城,1
126,姬渭城朝,1
127,渭城朝雨,1
128,城朝雨休,1
129,朝雨休重,1
130,雨休重唱,1
131,休重唱滿,1
132,重唱滿眼,1
133,唱滿眼陽,1
134,滿眼陽關,1
135,眼陽關客,1
136,陽關客未,1
137,關客未歸,1
138,客未歸句,1
139,未歸句妾,1
140,歸句妾心,1
141,句妾心合,1
142,妾心合君,1
143,心合君心,1
144,合君心一,1
145,君心一似,1
146,心一似影,1
147,一似影隨,1
148,似影隨形,1
149,影隨形句,1
150,隨形句梁,1
151,形句梁燕,1
152,句梁燕無,1
153,梁燕無情,1
154,燕無情困,1
155,無情困雙,1
156,情困雙棲,1
157,困雙棲語,1
158,雙棲語此,1
159,棲語此時,1
160,語此時句,1
161,此時句不,1
162,時句不覺,1
163,句不覺紅,1
164,不覺紅顏,1
165,覺紅顏去,1
166,紅顏去空,1
167,顏去空嗟,1
168,去空嗟白,1
169,空嗟白髮,1
170,嗟白髮生,1
171,白髮生句,1
172,髮生句桐,1
173,生句桐花,1
174,句桐花落,1
175,桐花落盡,1
176,花落盡春,1
177,落盡春又,1
178,盡春又盡,1
179,春又盡紫,1
180,又盡紫塞,1
181,盡紫塞征,1
182,紫塞征人,1
183,塞征人猶,1
184,征人猶未,1
185,人猶未歸,1
