排名,詞彙,出現次數
1,不,30
2,中,22
3,日,17
4,時,17
5,年,16
6,春,13
7,相,13
8,王,12
9,水,12
10,古,11
11,一,11
12,風,11
13,草,11
14,落,11
15,秦,11
16,玉,11
17,何,10
18,上,10
19,白,10
20,曲,10
21,南,10
22,望,10
23,來,10
24,陽,10
25,花,10
26,人,10
27,欲,9
28,行,9
29,羅,9
30,秋,9
31,有,9
32,在,9
33,作,9
34,夜,9
35,紅,9
36,九,8
37,月,8
38,城,8
39,送,8
40,此,8
41,別,8
42,妾,8
43,樓,8
44,未,8
45,著,8
46,宮,8
47,少,8
48,君,8
49,與,7
50,北,7
51,生,7
52,盡,7
53,裳,7
54,長,7
55,處,7
56,金,7
57,帝,7
58,自,7
59,湖,7
60,酒,7
61,石,7
62,頭,7
63,岸,7
64,母,7
65,飛,6
66,光,6
67,子,6
68,山,6
69,黃,6
70,見,6
71,使,6
72,獨,6
73,成,6
74,入,6
75,多,6
76,襄,6
77,知,6
78,華,6
79,裏,6
80,章,6
81,路,6
82,無,6
83,歸,6
84,意,6
85,青,6
86,夕,6
87,漂,6
88,和,6
89,二,6
90,蒼,5
91,絕,5
92,心,5
93,折,5
94,漢,5
95,台,5
96,桃,5
97,衣,5
98,為,5
99,跡,5
100,塘,5
101,流,5
102,舟,5
103,朝,5
104,遺,5
105,情,5
106,由,5
107,洲,5
108,幾,5
109,孫,5
110,鳥,5
111,千,5
112,事,5
113,楚,5
114,回,5
115,宿,5
116,館,5
117,江,5
118,向,5
119,西,5
120,灘,5
121,奉,5
122,悲,4
123,照,4
124,誰,4
125,口,4
126,轉,4
127,地,4
128,發,4
129,如,4
130,河,4
131,存,4
132,綿,4
133,堪,4
134,論,4
135,前,4
136,猶,4
137,舞,4
138,故,4
139,褧,4
140,頻,4
141,霜,4
142,碧,4
143,並,4
144,複,4
145,後,4
146,空,4
147,雖,4
148,卻,4
149,馬,4
150,通,4
151,看,4
152,芳,4
153,清,4
154,且,4
155,傳,4
156,題,4
157,預,4
158,臨,4
159,浦,4
160,宴,4
161,怨,4
162,州,4
163,離,4
164,潮,4
165,書,4
166,聖,4
167,郭,4
168,詞,4
169,首,4
170,紵,4
171,辭,4
172,鳴,3
173,天,3
174,出,3
175,弟,3
176,新,3
177,含,3
178,聲,3
179,列,3
180,下,3
181,遊,3
182,木,3
183,還,3
184,信,3
185,珠,3
186,階,3
187,冬,3
188,又,3
189,久,3
190,蕙,3
191,銅,3
192,往,3
193,逢,3
194,畏,3
195,採,3
196,蓮,3
197,葉,3
198,妝,3
199,女,3
200,帶,3
201,皆,3
202,床,3
203,他,3
204,卷,3
205,楊,3
206,柳,3
207,代,3
208,能,3
209,連,3
210,船,3
211,映,3
212,急,3
213,暗,3
214,尋,3
215,歌,3
216,唱,3
217,雜,3
218,詩,3
219,平,3
220,餘,3
221,荷,3
222,得,3
223,寺,3
224,畫,3
225,寄,3
226,外,3
227,游,3
228,雲,3
229,客,3
230,東,3
231,窮,3
232,足,3
233,遙,3
234,言,3
235,村,3
236,對,3
237,吟,3
238,三,3
239,七,3
240,制,3
241,侍,3
242,極,3
243,杭,3
244,昭,3
245,晨,2
246,巷,2
247,車,2
248,哀,2
249,峨,2
250,異,2
251,蕪,2
252,綠,2
253,絲,2
254,徒,2
255,從,2
256,聞,2
257,胡,2
258,紫,2
259,李,2
260,疏,2
261,池,2
262,芙,2
263,蓉,2
264,織,2
265,錦,2
266,幕,2
267,愁,2
268,侵,2
269,履,2
270,寂,2
271,寥,2
272,抱,2
273,裁,2
274,挑,2
275,燈,2
276,寒,2
277,剪,2
278,刀,2
279,冷,2
280,嬌,2
281,萼,2
282,雞,2
283,美,2
284,鞮,2
285,輕,2
286,薄,2
287,解,2
288,箏,2
289,漵,2
290,失,2
291,洛,2
292,梨,2
293,霰,2
294,齊,2
295,坐,2
296,粉,2
297,絮,2
298,裛,2
299,啼,2
300,董,2
301,賢,2
302,椒,2
303,窈,2
304,窕,2
305,繁,2
306,貴,2
307,璧,2
308,釭,2
309,翡,2
310,翠,2
311,零,2
312,變,2
313,窗,2
314,珊,2
315,瑚,2
316,鞭,2
317,驕,2
318,顏,2
319,稱,2
320,真,2
321,侶,2
322,鏡,2
323,許,2
324,旋,2
325,度,2
326,搖,2
327,手,2
328,菱,2
329,應,2
330,誤,2
331,樂,2
332,十,2
333,內,2
334,寶,2
335,劍,2
336,吹,2
337,待,2
338,佩,2
339,家,2
340,法,2
341,雨,2
342,門,2
343,竟,2
344,憩,2
345,感,2
346,靈,2
347,香,2
348,忽,2
349,麗,2
350,波,2
351,里,2
352,國,2
353,亭,2
354,暫,2
355,晚,2
356,孤,2
357,氣,2
358,萋,2
359,高,2
360,遠,2
361,數,2
362,海,2
363,樹,2
364,漭,2
365,遂,2
366,色,2
367,已,2
368,邊,2
369,載,2
370,茫,2
371,煙,2
372,塚,2
373,每,2
374,沾,2
375,籠,2
376,棘,2
377,物,2
378,道,2
379,太,2
380,陳,2
