排名,詞彙,出現次數
1,送,39
2,人,35
3,山,27
4,江,25
5,雲,22
6,上,18
7,書,17
8,日,16
9,知,16
10,客,15
11,相,15
12,白,15
13,見,15
14,時,14
15,君,14
16,事,13
17,不,13
18,中,12
19,有,12
20,無,12
21,逢,12
22,家,11
23,向,11
24,月,11
25,何,11
26,寒,11
27,情,10
28,自,10
29,寄,10
30,去,10
31,路,10
32,海,10
33,遠,10
34,門,10
35,風,10
36,來,9
37,生,9
38,難,9
39,春,9
40,下,9
41,年,9
42,獨,9
43,裏,9
44,心,9
45,秋,9
46,別,9
47,孤,8
48,李,8
49,王,8
50,朝,8
51,明,8
52,宿,8
53,在,8
54,地,8
55,一,8
56,為,8
57,後,8
58,題,8
59,到,8
60,城,8
61,行,8
62,水,8
63,花,8
64,南,8
65,州,8
66,落,8
67,東,7
68,此,7
69,身,7
70,夜,7
71,馬,7
72,樹,7
73,看,7
74,丹,7
75,初,7
76,湖,7
77,十,7
78,隨,7
79,空,7
80,清,7
81,晚,7
82,煙,7
83,前,7
84,稀,7
85,思,7
86,將,7
87,懷,6
88,常,6
89,暮,6
90,應,6
91,入,6
92,天,6
93,官,6
94,還,6
95,竹,6
96,新,6
97,歸,6
98,尋,6
99,開,6
100,陽,6
101,外,6
102,潤,6
103,淚,6
104,處,6
105,遙,6
106,流,6
107,八,6
108,西,5
109,浮,5
110,千,5
111,里,5
112,問,5
113,老,5
114,平,5
115,楊,5
116,林,5
117,成,5
118,從,5
119,郭,5
120,故,5
121,欲,5
122,九,5
123,聞,5
124,幾,5
125,髮,5
126,衣,5
127,文,5
128,猿,5
129,寺,5
130,峰,5
131,深,5
132,登,5
133,與,5
134,長,5
135,過,5
136,草,5
137,木,5
138,堪,5
139,世,5
140,贈,5
141,意,5
142,少,5
143,多,5
144,蘭,5
145,越,5
146,道,5
147,舍,4
148,楚,4
149,關,4
150,親,4
151,貧,4
152,愁,4
153,夢,4
154,良,4
155,政,4
156,望,4
157,憶,4
158,傳,4
159,雁,4
160,方,4
161,盡,4
162,賢,4
163,分,4
164,幸,4
165,子,4
166,久,4
167,士,4
168,名,4
169,非,4
170,若,4
171,聲,4
172,回,4
173,徑,4
174,早,4
175,溪,4
176,出,4
177,依,4
178,塵,4
179,重,4
180,薛,4
181,韋,4
182,離,4
183,亂,4
184,爾,4
185,府,4
186,同,4
187,得,4
188,啼,4
189,暉,4
190,真,4
191,竇,4
192,廣,4
193,青,4
194,禮,4
195,四,3
196,待,3
197,豈,3
198,辭,3
199,雪,3
200,猶,3
201,驅,3
202,惜,3
203,首,3
204,已,3
205,妻,3
206,台,3
207,影,3
208,閑,3
209,許,3
210,罷,3
211,愧,3
212,滄,3
213,度,3
214,恩,3
215,鄉,3
216,微,3
217,喧,3
218,友,3
219,詩,3
220,才,3
221,異,3
222,慚,3
223,使,3
224,石,3
225,侯,3
226,野,3
227,鏡,3
228,禪,3
229,高,3
230,霜,3
231,翠,3
232,修,3
233,公,3
234,香,3
235,磬,3
236,至,3
237,萬,3
238,歲,3
239,邊,3
240,殘,3
241,憐,3
242,臨,3
243,愛,3
244,陶,3
245,葉,3
246,淮,3
247,北,3
248,偏,3
249,二,3
250,卻,3
251,古,3
252,帆,3
253,樓,3
254,飛,3
255,未,3
256,數,3
257,覺,3
258,漢,3
259,內,3
260,會,3
261,喜,3
262,經,3
263,對,3
264,酒,3
265,貴,3
266,詠,3
267,今,3
268,部,3
269,柳,3
270,舊,3
271,曲,3
272,皇,3
273,定,3
274,帶,3
275,康,3
276,武,3
277,複,2
278,秦,2
279,勞,2
280,慣,2
281,涯,2
282,苦,2
283,又,2
284,津,2
285,閣,2
286,作,2
287,因,2
288,吏,2
289,笑,2
290,頻,2
291,容,2
292,園,2
293,奉,2
294,和,2
295,給,2
296,桂,2
297,枝,2
298,共,2
299,代,2
300,仍,2
301,連,2
302,步,2
303,墀,2
304,近,2
305,薦,2
306,集,2
307,跡,2
308,趨,2
309,曾,2
310,謁,2
311,酬,2
312,補,2
313,闕,2
314,窗,2
315,雨,2
316,蟲,2
317,魂,2
318,除,2
319,拾,2
320,遺,2
321,垂,2
322,帝,2
323,免,2
324,諫,2
325,負,2
326,交,2
327,劉,2
328,展,2
329,判,2
330,國,2
331,背,2
332,但,2
333,貞,2
334,玉,2
335,焚,2
336,如,2
337,仙,2
338,且,2
339,住,2
340,浦,2
341,我,2
342,智,2
343,金,2
344,苔,2
345,松,2
346,法,2
347,疑,2
348,怯,2
349,頭,2
350,逐,2
351,誰,2
352,蔣,2
353,殿,2
354,僧,2
355,夕,2
356,目,2
357,葭,2
358,崇,2
359,福,2
360,坐,2
361,堂,2
362,掩,2
363,之,2
364,籬,2
365,仲,2
366,泛,2
367,梅,2
368,綠,2
369,芳,2
370,員,2
371,胡,2
372,戍,2
373,舟,2
374,然,2
375,張,2
376,芬,2
377,五,2
378,蘇,2
379,游,2
380,任,2
381,輕,2
382,陸,2
383,浪,2
384,縣,2
385,艱,2
386,史,2
387,陰,2
388,想,2
389,滿,2
390,丘,2
391,起,2
392,田,2
393,洲,2
394,大,2
395,封,2
396,芙,2
397,謝,2
398,玄,2
399,發,2
400,姚,2
401,只,2
402,緣,2
403,違,2
404,沾,2
405,扉,2
406,師,2
407,羨,2
408,鴻,2
409,庭,2
410,弟,2
411,悲,2
412,畫,2
413,底,2
414,闌,2
415,也,2
416,吳,2
417,遲,2
418,歎,2
419,傍,2
420,潛,2
421,桐,2
422,廬,2
423,寂,2
424,字,2
425,虔,2
426,鄭,2
427,感,2
428,莫,2
429,鳴,2
430,元,2
431,秘,2
432,稍,2
433,市,2
434,茅,2
435,桑,2
436,馮,2
437,侍,2
438,禦,2
439,甫,2
440,冉,2
441,賀,2
442,是,2
443,類,1
444,策,1
445,蹇,1
446,僮,1
447,僕,1
448,投,1
449,全,1
450,托,1
451,鄰,1
452,料,1
453,讀,1
454,節,1
455,詔,1
456,晡,1
457,餐,1
458,占,1
459,吉,1
460,辰,1
461,延,1
462,懶,1
463,漫,1
464,欺,1
465,拙,1
466,理,1
467,幕,1
468,丞,1
469,折,1
470,雞,1
471,忝,1
472,鸞,1
473,漏,1
474,燕,1
475,便,1
476,遷,1
477,命,1
478,薄,1
479,禁,1
480,系,1
481,由,1
482,返,1
483,昨,1
484,受,1
485,井,1
486,孫,1
487,滴,1
488,砌,1
489,垣,1
490,慰,1
491,旅,1
492,綸,1
493,忽,1
494,掛,1
495,羞,1
496,章,1
497,當,1
498,諍,1
499,臣,1
500,餘,1
501,敢,1
502,寵,1
503,承,1
504,姓,1
505,勳,1
506,皎,1
507,義,1
508,忠,1
509,甘,1
510,竄,1
511,寐,1
512,蘿,1
513,就,1
514,叫,1
515,遊,1
516,把,1
517,魚,1
518,竿,1
519,刹,1
520,梵,1
521,鐘,1
522,壁,1
523,接,1
524,所,1
525,悟,1
526,陀,1
527,夏,1
528,臘,1
529,鳥,1
530,僻,1
531,谷,1
532,識,1
533,界,1
534,兼,1
535,菼,1
536,竟,1
537,掃,1
538,房,1
539,彭,1
540,澤,1
541,晴,1
542,招,1
543,引,1
544,豐,1
545,佳,1
546,句,1
547,敵,1
548,猜,1
549,丈,1
550,舸,1
551,貪,1
552,斜,1
553,橈,1
554,值,1
555,豫,1
556,陂,1
557,鶯,1
558,主,1
559,灑,1
560,荒,1
