排名,詞彙,出現次數
1,日,13
2,懷,12
3,冬,11
4,述,11
5,韋,6
6,奉,5
7,酬,5
8,祭,5
9,既,3
10,子,3
11,思,3
12,高,3
13,齡,2
14,微,2
15,中,2
16,年,2
17,山,2
18,水,2
19,通,2
20,道,2
21,君,2
22,前,2
23,河,2
24,憐,2
25,池,2
26,詞,2
27,謝,2
28,同,2
29,樂,2
30,情,2
31,鳥,2
32,書,2
33,披,2
34,從,2
35,上,2
36,重,2
37,登,2
38,成,2
39,循,2
40,軋,2
41,夙,1
42,秉,1
43,尚,1
44,忽,1
45,有,1
46,鄰,1
47,以,1
48,茲,1
49,癖,1
50,遂,1
51,得,1
52,狎,1
53,人,1
54,迨,1
55,我,1
56,咸,1
57,京,1
58,聞,1
59,別,1
60,業,1
61,新,1
62,岩,1
63,窺,1
64,石,1
65,鏡,1
66,畔,1
67,踏,1
68,芳,1
69,茵,1
70,伊,1
71,浦,1
72,綠,1
73,複,1
74,憶,1
75,灞,1
76,春,1
77,連,1
78,家,1
79,歡,1
80,冀,1
81,野,1
82,賓,1
83,趣,1
84,閑,1
85,魚,1
86,共,1
87,洽,1
88,來,1
89,馴,1
90,詎,1
91,念,1
92,昔,1
93,遊,1
94,者,1
95,只,1
96,命,1
97,獨,1
98,留,1
99,秦,1
100,蕭,1
101,條,1
102,穎,1
103,陽,1
104,戀,1
105,沖,1
106,漠,1
107,漢,1
108,陰,1
109,真,1
110,無,1
111,由,1
112,陪,1
113,勝,1
114,躅,1
115,空,1
116,此,1
117,玩,1
118,筠,1
119,弱,1
120,好,1
121,經,1
122,籍,1
123,卷,1
124,即,1
125,怡,1
126,然,1
127,覃,1
128,精,1
129,四,1
130,十,1
131,載,1
132,馳,1
133,騁,1
134,數,1
135,千,1
136,言,1
137,孔,1
138,壁,1
139,采,1
140,遺,1
141,篆,1
142,周,1
143,考,1
144,絕,1
145,編,1
146,袁,1
147,公,1
148,論,1
149,劍,1
150,術,1
151,孫,1
152,敘,1
153,兵,1
154,篇,1
155,魯,1
156,史,1
157,臣,1
158,姬,1
159,月,1
160,懸,1
161,師,1
162,改,1
163,炎,1
164,燠,1
165,負,1
166,笈,1
167,遍,1
168,川,1
169,異,1
170,西,1
171,夏,1
172,非,1
173,北,1
174,海,1
175,玄,1
176,光,1
177,榮,1
178,拾,1
179,青,1
180,紫,1
181,名,1
182,價,1
183,接,1
184,賢,1
185,萬,1
186,鐘,1
187,寧,1
188,二,1
189,頃,1
190,田,1
191,長,1
192,戟,1
193,分,1
194,虎,1
195,冠,1
196,亞,1
197,附,1
198,蟬,1
199,晚,1
200,虛,1
201,曠,1
202,養,1
203,志,1
204,息,1
205,雕,1
206,鐫,1
207,慚,1
208,拙,1
209,匠,1
210,物,1
211,妍,1
212,不,1
213,慕,1
214,張,1
215,平,1
216,甯,1
217,希,1
218,王,1
219,仲,1
220,宣,1
221,誰,1
222,謂,1
223,龍,1
224,翻,1
225,刻,1
226,鵠,1
227,勞,1
228,善,1
229,誘,1
230,牽,1
231,琢,1
232,磨,1
233,才,1
234,竭,1
235,鑽,1
236,仰,1
237,德,1
238,彌,1
239,堅,1
240,朽,1
241,木,1
242,誠,1
243,為,1
244,諭,1
245,捫,1
246,心,1
247,徒,1
248,自,1
249,終,1
250,期,1
251,吞,1
252,夢,1
253,振,1
254,翼,1
255,雲,1
256,煙,1
257,賦,1
258,先,1
259,擲,1
260,地,1
261,直,1
262,掞,1
263,天,1
264,更,1
265,執,1
266,摳,1
267,衣,1
268,禮,1
269,仍,1
270,開,1
271,函,1
272,丈,1
273,筵,1
274,霧,1
275,槐,1
276,市,1
277,藹,1
278,靜,1
279,璧,1
280,圓,1
281,願,1
282,逐,1
283,風,1
284,葉,1
285,飛,1
286,舞,1
287,翰,1
288,林,1
