排名,詞彙,出現次數
1,宿大,5
2,大通,5
3,通和,5
4,早發,4
5,發交,4
6,交崖,4
7,登水,4
8,水門,4
9,門樓,4
10,送薛,3
11,薛據,3
12,據之,3
13,潁陽,3
14,陽東,3
15,東溪,3
16,日登,3
17,奉酬,3
18,酬中,3
19,中書,3
20,夜來,2
21,曉霽,2
22,山河,2
23,山下,2
24,下晚,2
25,晚晴,2
26,天淨,2
27,故林,2
28,奉試,2
29,試明,2
30,明堂,2
31,月滿,2
32,生望,2
33,途中,2
34,中曉,2
35,曉發,2
36,緱山,2
37,山廟,2
38,同諸,2
39,諸公,2
40,公謁,2
41,九日,2
42,登望,2
43,嵩山,2
44,山尋,2
45,尋馮,2
46,和支,1
47,支公,1
48,公已,1
49,已寂,1
50,寂滅,1
51,滅影,1
52,影塔,1
53,塔山,1
54,山上,1
55,上古,1
56,古更,1
57,更有,1
58,有真,1
59,真僧,1
60,僧來,1
61,來道,1
62,道場,1
63,場救,1
64,救諸,1
65,諸苦,1
66,苦宿,1
67,和一,1
68,一承,1
69,承微,1
70,微妙,1
71,妙法,1
72,法寓,1
73,寓宿,1
74,宿清,1
75,清淨,1
76,淨土,1
77,土身,1
78,身心,1
79,心能,1
80,能自,1
81,自觀,1
82,觀色,1
83,色相,1
84,相了,1
85,了無,1
86,無取,1
87,取宿,1
88,和森,1
89,森森,1
90,森松,1
91,松映,1
92,映月,1
93,月漠,1
94,漠漠,1
95,漠雲,1
96,雲近,1
97,近戶,1
98,戶嶺,1
99,嶺外,1
100,外飛,1
101,飛電,1
102,電明,1
103,明夜,1
104,來前,1
105,前山,1
106,山雨,1
107,雨宿,1
108,和然,1
109,然燈,1
110,燈見,1
111,見棲,1
112,棲鴿,1
113,鴿作,1
114,作禮,1
115,禮聞,1
116,聞信,1
117,信鼓,1
118,鼓曉,1
119,霽南,1
120,南軒,1
121,軒開,1
122,開秋,1
123,秋華,1
124,華淨,1
125,淨天,1
126,天宇,1
127,宇宿,1
128,和願,1
129,願言,1
130,言出,1
131,出世,1
132,世塵,1
133,塵謝,1
134,謝爾,1
135,爾申,1
136,申及,1
137,及甫,1
138,甫送,1
139,之無,1
140,無媒,1
141,媒嗟,1
142,嗟失,1
143,失路,1
144,路有,1
145,有道,1
146,道亦,1
147,亦乘,1
148,乘流,1
149,流客,1
150,客處,1
151,處不,1
152,不堪,1
153,堪別,1
154,別異,1
155,異鄉,1
156,鄉應,1
157,應共,1
158,共愁,1
159,愁送,1
160,之我,1
161,我生,1
162,生早,1
163,早孤,1
164,孤賤,1
165,賤淪,1
166,淪落,1
167,落居,1
168,居此,1
169,此州,1
170,州風,1
171,風土,1
172,土至,1
173,至今,1
174,今憶,1
175,憶山,1
176,河皆,1
177,皆昔,1
178,昔遊,1
179,遊送,1
180,之一,1
181,一從,1
182,從文,1
183,文章,1
184,章事,1
185,事兩,1
186,兩京,1
187,京春,1
188,春複,1
189,複秋,1
190,秋君,1
191,君去,1
192,去問,1
193,問相,1
194,相識,1
195,識幾,1
196,幾人,1
197,人今,1
198,今白,1
199,白頭,1
200,頭山,1
201,晴寥,1
202,寥寥,1
203,寥遠,1
204,遠天,1
205,淨溪,1
206,溪路,1
207,路何,1
208,何空,1
209,空蒙,1
210,蒙斜,1
211,斜光,1
212,光照,1
213,照疏,1
214,疏雨,1
215,雨秋,1
216,秋氣,1
217,氣生,1
218,生白,1
219,白虹,1
220,虹山,1
221,晴雲,1
222,雲盡,1
223,盡山,1
224,山色,1
225,色暝,1
226,暝蕭,1
227,蕭條,1
228,條西,1
229,西北,1
230,北風,1
231,風故,1
232,林歸,1
233,歸宿,1
234,宿處,1
235,處一,1
236,一葉,1
237,葉下,1
238,下梧,1
239,梧桐,1
240,桐潁,1
241,溪靈,1
242,靈溪,1
243,溪氛,1
