排名,詞彙,出現次數
1,奉,3
2,和,3
3,聖,3
4,制,3
5,樂,2
6,五,1
7,日,1
8,酺,1
9,才,1
10,畢,1
11,千,1
12,年,1
13,未,1
14,央,1
15,複,1
16,承,1
17,天,1
18,所,1
19,賜,1
20,終,1
21,宴,1
22,國,1
23,之,1
24,陽,1
25,地,1
26,勝,1
27,春,1
28,逾,1
29,好,1
30,恩,1
31,深,1
32,更,1
33,張,1
34,落,1
35,花,1
36,飛,1
37,廣,1
38,座,1
39,垂,1
40,柳,1
41,拂,1
42,行,1
43,觴,1
44,庶,1
45,尹,1
46,陪,1
47,三,1
48,史,1
49,諸,1
50,侯,1
51,具,1
52,萬,1
53,方,1
54,酒,1
55,酣,1
56,同,1
57,抃,1
58,躍,1
59,歌,1
60,舞,1
61,詠,1
62,時,1
63,康,1
