排名,詞彙,出現次數
1,古意三首,11
2,贈三侍禦,8
3,塞下曲四,8
4,白湖寺後,7
5,仙谷遇毛,6
6,鄂渚招王,6
7,空靈山應,6
8,太公哀晚,6
9,湖中晚霽,5
10,白龍窟泛,5
11,張天師草,5
12,張山人彈,4
13,閑齋臥病,4
14,夢太白西,4
15,春詞二首,4
16,客有自燕,4
17,送楚十少,3
18,晦日馬鐙,3
19,宿五度溪,3
20,張公子行,3
21,送李十一,2
22,江上琴興,2
23,宿王昌齡,2
24,五度溪上,2
25,高樓夜彈,2
26,吊王將軍,2
27,題破山寺,2
28,送李大都,2
29,潭州留別,2
30,聽琴秋夜,2
31,泊舟盱眙,2
32,送宇文六,2
33,落第長安,2
34,三日尋李,2
35,戲題湖上,2
36,美女渭橋,1
37,女渭橋東,1
38,渭橋東春,1
39,橋東春還,1
40,東春還事,1
41,春還事蠶,1
42,還事蠶作,1
43,事蠶作五,1
44,蠶作五馬,1
45,作五馬如,1
46,五馬如飛,1
47,馬如飛龍,1
48,如飛龍青,1
49,飛龍青絲,1
50,龍青絲結,1
51,青絲結金,1
52,絲結金絡,1
53,結金絡不,1
54,金絡不知,1
55,絡不知誰,1
56,不知誰家,1
57,知誰家子,1
58,誰家子調,1
59,家子調笑,1
60,子調笑來,1
61,調笑來相,1
62,笑來相謔,1
63,來相謔妾,1
64,相謔妾本,1
65,謔妾本秦,1
66,妾本秦羅,1
67,本秦羅敷,1
68,秦羅敷玉,1
69,羅敷玉顏,1
70,敷玉顏豔,1
71,玉顏豔名,1
72,顏豔名都,1
73,豔名都綠,1
74,名都綠條,1
75,都綠條映,1
76,綠條映素,1
77,條映素手,1
78,映素手采,1
79,素手采桑,1
80,手采桑向,1
81,采桑向城,1
82,桑向城隅,1
83,向城隅使,1
84,城隅使君,1
85,隅使君且,1
86,使君且不,1
87,君且不顧,1
88,且不顧況,1
89,不顧況複,1
90,顧況複論,1
91,況複論秋,1
92,複論秋胡,1
93,論秋胡寒,1
94,秋胡寒螿,1
95,胡寒螿愛,1
96,寒螿愛碧,1
97,螿愛碧草,1
98,愛碧草鳴,1
99,碧草鳴鳳,1
100,草鳴鳳棲,1
101,鳴鳳棲青,1
102,鳳棲青梧,1
103,棲青梧托,1
104,青梧托心,1
105,梧托心自,1
106,托心自有,1
107,心自有處,1
108,自有處但,1
109,有處但怪,1
110,處但怪傍,1
111,但怪傍人,1
112,怪傍人愚,1
113,傍人愚徒,1
114,人愚徒令,1
115,愚徒令白,1
116,徒令白日,1
117,令白日暮,1
118,白日暮高,1
119,日暮高駕,1
120,暮高駕空,1
121,高駕空踟,1
122,駕空踟躕,1
123,空踟躕送,1
124,踟躕送李,1
125,躕送李十,1
126,李十一泠,1
127,十一泠泠,1
128,一泠泠花,1
129,泠泠花下,1
130,泠花下琴,1
131,花下琴君,1
132,下琴君唱,1
133,琴君唱渡,1
134,君唱渡江,1
135,唱渡江吟,1
136,渡江吟天,1
137,江吟天際,1
138,吟天際一,1
139,天際一帆,1
140,際一帆影,1
141,一帆影預,1
142,帆影預懸,1
143,影預懸離,1
144,預懸離別,1
145,懸離別心,1
146,離別心送,1
147,別心送李,1
148,心送李十,1
149,李十一以,1
150,十一以言,1
151,一以言神,1
152,以言神仙,1
153,言神仙尉,1
154,神仙尉因,1
155,仙尉因致,1
156,尉因致瑤,1
157,因致瑤華,1
158,致瑤華音,1
159,瑤華音回,1
160,華音回軫,1
161,音回軫撫,1
162,回軫撫商,1
163,軫撫商調,1
164,撫商調越,1
165,商調越溪,1
166,調越溪澄,1
167,越溪澄碧,1
168,溪澄碧林,1
169,澄碧林江,1
170,碧林江上,1
171,林江上琴,1
172,上琴興江,1
173,琴興江上,1
174,興江上調,1
175,江上調玉,1
176,上調玉琴,1
177,調玉琴一,1
178,玉琴一弦,1
179,琴一弦清,1
180,一弦清一,1
181,弦清一心,1
182,清一心泠,1
183,一心泠泠,1
184,心泠泠七,1
185,泠泠七弦,1
186,泠七弦遍,1
187,七弦遍萬,1
188,弦遍萬木,1
189,遍萬木澄,1
190,萬木澄幽,1
191,木澄幽陰,1
192,澄幽陰江,1
193,幽陰江上,1
194,陰江上琴,1
195,上琴興能,1
196,琴興能使,1
197,興能使江,1
198,能使江月,1
199,使江月白,1
200,江月白又,1
201,月白又令,1
202,白又令江,1
203,又令江水,1
204,令江水深,1
205,江水深始,1
206,水深始知,1
207,深始知梧,1
208,始知梧桐,1
209,知梧桐枝,1
210,梧桐枝可,1
211,桐枝可以,1
212,枝可以徽,1
213,可以徽黃,1
214,以徽黃金,1
215,徽黃金湖,1
216,黃金湖中,1
217,金湖中晚,1
218,中晚霽湖,1
219,晚霽湖廣,1
220,霽湖廣舟,1
221,湖廣舟自,1
222,廣舟自輕,1
223,舟自輕江,1
224,自輕江天,1
225,輕江天欲,1
226,江天欲澄,1
227,天欲澄霽,1
228,欲澄霽是,1
229,澄霽是時,1
230,霽是時清,1
231,是時清楚,1
232,時清楚望,1
233,清楚望氣,1
234,楚望氣色,1
235,望氣色猶,1
236,氣色猶霾,1
237,色猶霾曀,1
238,猶霾曀湖,1
239,霾曀湖中,1
240,曀湖中晚,1
241,中晚霽踟,1
242,晚霽踟躕,1
243,霽踟躕金,1
244,踟躕金霞,1
245,躕金霞白,1
246,金霞白波,1
247,霞白波上,1
248,白波上日,1
249,波上日初,1
250,上日初麗,1
251,日初麗煙,1
252,初麗煙虹,1
253,麗煙虹落,1
254,煙虹落鏡,1
255,虹落鏡中,1
256,落鏡中樹,1
257,鏡中樹木,1
258,中樹木生,1
259,樹木生天,1
260,木生天際,1
261,生天際湖,1
262,天際湖中,1
263,際湖中晚,1
264,中晚霽杳,1
265,晚霽杳杳,1
266,霽杳杳涯,1
267,杳杳涯欲,1
268,杳涯欲辨,1
269,涯欲辨濛,1
270,欲辨濛濛,1
271,辨濛濛雲,1
272,濛濛雲複,1
273,濛雲複閉,1
274,雲複閉言,1
275,複閉言乘,1
276,閉言乘星,1
277,言乘星漢,1
278,乘星漢明,1
279,星漢明又,1
280,漢明又睹,1
281,明又睹寰,1
282,又睹寰瀛,1
283,睹寰瀛勢,1
284,寰瀛勢湖,1
285,瀛勢湖中,1
286,勢湖中晚,1
287,中晚霽微,1
288,晚霽微興,1
289,霽微興從,1
290,微興從此,1
291,興從此愜,1
292,從此愜悠,1
293,此愜悠然,1
294,愜悠然不,1
295,悠然不知,1
296,然不知歲,1
297,不知歲試,1
298,知歲試歌,1
299,歲試歌滄,1
300,試歌滄浪,1
301,歌滄浪清,1
302,滄浪清遂,1
303,浪清遂覺,1
304,清遂覺乾,1
305,遂覺乾坤,1
306,覺乾坤細,1
307,乾坤細湖,1
308,坤細湖中,1
309,細湖中晚,1
310,中晚霽豈,1
311,晚霽豈念,1
312,霽豈念客,1
313,豈念客衣,1
314,念客衣薄,1
315,客衣薄將,1
316,衣薄將期,1
317,薄將期永,1
318,將期永投,1
319,期永投袂,1
320,永投袂遲,1
321,投袂遲回,1
322,袂遲回漁,1
323,遲回漁父,1
324,回漁父間,1
325,漁父間一,1
326,父間一雁,1
327,間一雁聲,1
328,一雁聲嘹,1
329,雁聲嘹唳,1
330,聲嘹唳宿,1
331,嘹唳宿王,1
332,唳宿王昌,1
333,王昌齡清,1
334,昌齡清溪,1
335,齡清溪深,1
336,清溪深不,1
337,溪深不測,1
338,深不測隱,1
339,不測隱處,1
340,測隱處唯,1
